Title,Authors,Co-authors,Editors,Illustrators,Publisher,Edition,Year,Volume,ISBN,ISBN13,ISSN,"Call No",Category,Subject,Type,Description,Tags,Series
"2014 World Disasters Report: Focus on Culture and Risk","International Federation of Red Cross and Red Crescent Societies",,,,"International Federation of Red Cross and Red Crescent Socie",,2017,,9291392146,9789291392148,,G1,Unknown,,Book,"2014 World Disasters Report focuses on culture and risk. It explores the different ways in which culture affects disaster risk reduction and climate change adaptation and how disasters and risk influence culture. It examines why people choose to live in hazard-prone locations, and how culture and beliefs enable them to live with the risks they face. The report looks at the organizational culture of agencies working in the fields of disaster risk reduction and adaptation, and challenges the widespread faith in community-based activities. It also considers culture in relation to housing and reconstruction, and healthcare and medicine. Finally, the document indicates starting points for organizations to better align their actions with the way people think and act. The World Disasters Report 2014 features: (i) the links between culture and risk; (ii) how religion and beliefs influence perceptions of and attitudes towards risk; (iii) taking livelihoods seriously; (iv) the myth of community?; (v) culture, risk and the built environment; (vi) culturally sensitive public health: the HIV/AIDS disaster and beyond; (vii) putting culture at the centre of risk reduction; (viii) disaster data. - from Amzon",,
"2019 Training Catalog",,,,,"IMF Institute for Capacity Development",,2018,,,,,D1,Publication,,Publication,,,
"21 Lessons for the 21st Century","Yuval Noah Harari",,,,"Jonathan Cape",,,,1787330672,9781787330672,,Marco,Unknown,,Book,"BRAND NEW, Exactly same ISBN as listed, Please double check ISBN carefully before ordering. - from Amzon",,
"25 Tahun Cemeti",,,,,"Cemeti Art House",Indonesian,2014,,,9786020975054,,I2,Art,,Book,,,"Turning Targets"
"3 1/2 Tahun Bekerja: Kuratorial Arsip Seni & Propaganda Pendudukan Jepang, 1942-1945",,,,,"Teater Arsip Dewan Kesenian Jakarta",,2018,,,,,F2,Art,,Publication,,,
"30 Tahun Indonesia Merdeka. 1950-1964",,,,,"PT Tira Pustaka",,1980,,,,,C1,,,Book,,,"30 Tahun Indonesia Merdeka"
"30 Tahun Indonesia Merdeka. 1965-1973",,,,,"Sekretariat Negara Republik Indonesia",,1981,,,,,C1,,,Book,,,"30 Tahun Indonesia Merdeka"
"30 Tahun Indonesia Merdeka. 1974-1975",,,,,"Sekretariat Negara Republik Indonesia",,1981,,,,,C1,,,Book,,,"30 Tahun Indonesia Merdeka"
"5. Kamus Bahasa Belanda (Elementer)","L. Beheydt & T. Wieers",,,,"Erasmus Taalcentrum/Pusat Bahasa Belanda Erasmus",,2012,,,,,,Dictionary,,Book,,,
"50 Ide / Karya / Arsitek","Ikatan Alumni Arsitektur Trisakti ""Adhipati"" dan Studio IAAW",,,,"PT Imaji Media Pustaka",,2016,,,9786029260311,,J1,,,Book,,,
"7 Arsitek Indonesia","Peter Yogan Gandakusuma; Murni Khuarizmi",,,,"Kanaya Press",,2015,,,9786029173383,,J1,,,Book,,,
"9 Jurus Merancang Peraturan untuk Transformasi Sosial: Sebuah Manual untuk Praktisi",,,,,"Pusat Studi Hukum dan Kebijakan Indonesia (PSHK)",,2007,,,9789799936936,,B1,Law,,Book,,,
"A Boal Companion: Dialogues on Theatre and Cultural Politics",,,,,Routledge,1,2006,,0415322944,9780415322942,,C2,Unknown,,Book,"<P>This carefully constructed and thorough collection of theoretical engagements with Augusto Boal’s work is the first to look ’beyond Boal’ and critically assesses the Theatre of the Opressed (TO) movement in context.</P> <P></P> <P><EM>A Boal Companion</EM> looks at the cultural practices which inform TO and explore them within a larger frame of cultural politics and performance theory. The contributors put TO into dialogue with complexity theory – Merleau-Ponty, Emmanuel Levinas, race theory, feminist performance art, Deleuze and Guattari, and liberation psychology – to name just a few, and in doing so, the kinship between Boal’s project and multiple fields of social psychology, ethics, biology, comedy, trauma studies and political science is made visible.</P> <P></P> <P>The ideas generated throughout <EM>A Boal Companion</EM> will:</P> <UL> <LI>expand readers' understanding of TO as a complex, interdisciplinary, multivocal body of philosophical discourses</LI> <LI>provide a variety of lenses through which to practice and critique TO</LI> <LI>make explicit the relationship between TO and other bodies of work.</LI></UL> <P></P> <P>This collection is ideal for TO practitioners and scholars who want to expand their knowledge, but it also provides unfamiliar readers and new students to the discipline with an excellent study resource.</P> - from Amzon","History & Criticism, Reference, Humor & Entertainment, Dramas & Plays, Literature, Theater",
"A Case Study in Socio-hydrology: Flood Events in Jakarta, Indonesia","Giorgio Faedo",,,,,,2014,,,,,H2,,,Thesis,,,
"A Certain Age: Colonial Jakarta through the Memories of Its Intellectuals","Rudolf Mrázek",,,,"Duke University Press Books",,2010,,0822346974,9780822346975,,F1,Unknown,,Book,"<div><I>A Certain Age</I> is an unconventional, evocative work of history and a moving reflection on memory, modernity, space, time, and the limitations of traditional historical narratives. Rudolf Mrázek visited Indonesia throughout the 1990s, recording lengthy interviews with elderly intellectuals in and around Jakarta. With few exceptions, they were part of an urban elite born under colonial rule and educated at Dutch schools. From the early twentieth century, through the late colonial era, the national revolution, and well into independence after 1945, these intellectuals injected their ideas of modernity, progress, and freedom into local and national discussion.</p><P>When Mrázek began his interviews, he expected to discuss phenomena such as the transition from colonialism to postcolonialism. His interviewees, however, wanted to share more personal recollections. Mrázek illuminates their stories of the past with evocative depictions of their late-twentieth-century surroundings. He brings to bear insights from thinkers including Walter Benjamin, Bertold Brecht, Le Corbusier, and Marcel Proust, and from his youth in Prague, another metropolis with its own experience of passages and revolution. Architectural and spatial tropes organize the book. Thresholds, windowsills, and sidewalks come to seem more apt as descriptors of historical transitions than colonial and postcolonial, or modern and postmodern. Asphalt roads, homes, classrooms, fences, and windows organize movement, perceptions, and selves in relation to others. <I>A Certain Age</I> is a portal into questions about how the past informs the present and how historical accounts are inevitably partial and incomplete.</div> - from Amzon","Southeast Asia, Cultural, Asia, Anthropology",
"A Concise Guide to Macroeconomics: What Managers, Executives, and Students Need to Know","David A. Moss",,,,"Harvard Business Review Press",5.2.2007,2007,,1422101797,9781422101797,,H3,Unknown,,Book,"<div>Now more than ever before, executives and managers need to understand their larger economic context. In A Concise Guide to Macroeconomics, David Moss leverages his many years of teaching experience at Harvard Business School to lay out important macroeconomic concepts in engaging, clear, and concise terms. In a simple and intuitive way, he breaks down the ideas into output,” money,” and expectations.” In addition, Moss introduces powerful tools for interpreting the big-picture economic developments that shape events in the contemporary business arena. Detailed examples are also drawn from history to illuminate important concepts.<BR><BR>This book is destined to become a staple in MBA coursesas well as the go-to resource for executives and managers at all levels seeking to brush up on their knowledge of macroeconomic dynamics.<BR></div> - from Amzon","Macroeconomics, Macroeconomics",
"A Dictionary of Islam","Thomas Patrick Hughes",,,,"Kazi Publications, Inc.",First,2007,,0935782702,9780935782707,,C1,Islam,,Book,"This is the only comprehensive Dictionary of Islam available in English being a cyclopaedia of the doctrines, rites, ceremonies, and customs together with the technical and theological terms of the Islamic faith. - from Amzon","Islam, Dictionaries & Thesauruses, Religion, Journalism & Nonfiction, History, Theology",
"A Guide to George Town's Historic Commmercial and Civic Precints",,,,,,2nd,2015,,,,,A1,History,,Publication,,"History, Malaysia, Architecture",
"A Guide to Site and Environmental Planning","Harvey M. Rubenstein",,,,Wiley-Interscience,3,1987,,0471850330,9780471850335,,J3,Unknown,,Book,"An up-to-date revision of the successful text and reference work on site planning. Several chapters have been expanded, revised and renamed, and there are new chapters on specifications, sports facilities and playgrounds, rooftop gardens, and development design guidelines. Chapters follow phases in the development of a site plan and include material explaining site selection and analysis, land use and circulation, visual design factors and natural elements in site organization, contours, grading and earthwork calculations, site drainage, alignment of horizontal and vertical curves, and details in the landscape. The presentation follows the well-received format of previous editions, covering resource analysis, erosion control and soil loss, and circulation relating to the automobile, bicycle, pedestrian, and handicapped. Includes material on the use of trees in site planning and on residential development concepts. - from Amzon","Landscape, Architecture",
"A Handbook of Industrial Ecology",,,,,"Edward Elgar Pub",1,2002,,1840645067,9781840645064,,H2,Unknown,,Book,"Industrial ecology is coming of age and this superb book brings together leading scholars to present a state-of-the-art overviews of the subject. Each part of the book comprehensively covers the following issues in a systematic style: * the goals and achievements of industrial ecology and the history of the field * methodology, covering the main approaches to analysis and assessment * economics and industrial ecology * industrial ecology at the national/regional level * industrial ecology at the sectoral/materials level * applications and policy implications. The authors are all experts at the cutting edge of the field and the bibliography alone will prove useful as a comprehensive guide to the literature. This outstanding handbook will be an indispensable reference for students and scholars working in environmental management, industrial ecology and environmental and ecological studies. - from Amzon","Environmental Economics, Sustainable Development, Ecology, Environmental Science",
"A History of China Volume 1 Prehistory to C.1800","J a G Roberts",,,,"Sutton Publishing Ltd",,1996,,0862998468,9780862998462,,I3,Unknown,,Book,,,
"A History of Housing in New York City (Columbia History of Urban Life)","Richard Plunz",,,,"Columbia University Press","revised edition",2016,,0231178352,9780231178358,,E1,Unknown,,Book,"Since its emergence in the mid-nineteenth century as the nation's ""metropolis,"" New York has faced the most challenging housing problems of any American city, but it has also led the nation in innovation and reform. The horrors of the tenement were perfected in New York at the same time that the very rich were building palaces along Fifth Avenue; public housing for the poor originated in New York, as did government subsidies for middle-class housing.<br><br>A standard in the field since its publication in 1992, <i>A History of Housing in New York City</i> traces New York's housing development from 1850 to the present in text and profuse illustrations. Richard Plunz explores the housing of all classes, with comparative discussion of the development of types ranging from the single-family house to the high-rise apartment tower. His analysis is placed within the context of the broader political and cultural development of New York City. This revised edition extends the scope of the book into the city's recent history, adding three decades to the study, covering the recent housing bubble crisis, the rebound and gentrification of the five boroughs, and the ecological issues facing the next generation of New Yorkers. More than 300 illustrations are integrated throughout the text, depicting housing plans, neighborhood changes, and city architecture over the past 130 years. This new edition also features a foreword by the distinguished urban historian Kenneth T. Jackson. - from Amzon","History, Regional, Urban & Land Use Planning, State & Local, Urban Planning & Development, City Planning & Urban Development, United States, Architecture, Public Policy",
"A History of Japan : 3 Volumes","George Sansom",,,,"Charles E. Tuttle",,1993,,4805303751,9784805303757,,K1,Unknown,,Book,"A History of Japan : 3 Volumes [Paperback] [Jan 01, 1984] George Sansom ... 4805303751 - from Amzon",,
"A History of Philosophy (Book One: Vol. I - Greece & Rome; Vol. II - Augustine to Scotus; Vol. III -Ockham to Suarez)","Frederick Copleston",,,,Image,,1985,,0385230311,9780385230315,,G1,"Philosophy, History",,Book,"A History of Philosophy (Book One: Vol. I - Greece - from Amzon",,
"A History of Philosophy (Book Two: Volume IV - Descartes to Leibniz; Volume V - Hobbes to Hume; Volume VI - Wolff to Kant)","Frederick Copleston",,,,Image,1st,1985,,038523032X,9780385230322,,G1,Unknown,,Book,"Here in one convenient volume are Volumes IV, V, and VI - complete and unabridged - of the acclaimed reference work that has dominated the field of phlosophy for two decades.

Volume IV discusses the philosophies of Descartes, Pascal, Malebranche, Spinoza, and Leibniz. Volume V covers British philosophy during the seventeenth and eighteenth centuries, marked by such giants as Hobbes, Locke, Berkeley, and Hume, as well as other movements of far-reaching significance. Copleston takes up the eighteenth-century continental philosophers in Volume VI - beginning with the French Enlightenment (including Fontenelle, Helvétius, Robinet, Rousseau) and then going to the German Enlightenment (which includes the work of Lessing and Wolff) and finally to an intense treatment of Immanuel Kant.

These individual volumes have been hailed as ""profound and well organized ... a remarkable accomplishment [marked by] dispassionate objectivity ... a magnificent survey."" Now available as a three-in-one paperback, it will be welcomed by students and scholars of modern philosophy as a reference work that no library should be without. - from Amzon",,
"A History of Philosophy: Book Three (Volume VII, Fichte to Nietzsche, Volume VIII, Bentham to Russell, Volume IX, Maine De Biran to Sartre)","Frederick Copleston",,,,"Doubleday & Company, Inc.",,1985,,0385230338,9780385230339,,G1,Unknown,,Book,"Here in one convenient volume are Volumes VII, VIII, and IX - complete and unabridged - of the acclaimed reference work that has dominated the field of philosophy for two decades. Volume VII considers such world-famous modern Western philosophers as Fichte, Schelling, Schleiermacher, Hegel, Schopenhauer Kierkegaard, and Nietzsche. Volume VIII, on British empiricism, the idealist movement in Great Britain, idealism in America, the pragmatist movement, and the revolt against idealism, covers such thinkers as Bentham, Herbert Spencer, T. H. Green, Bradley, Bosanquet, Royce, C. S. Peirce, William James, G. E. Moore, John Dewey, and Bertrand Russell. Volume IX presents the prominent French philosophical thinkers of the nineteenth and twentieth centuries, with full attention to the themes of human freedom and man in society - including Maine de Biran, Comte, Henri Bergson, Garrigou-Lagrange, and Sartre.

These individual volumes have been hailed as ""objective, yet critical. . . significant. . . clear-sighted. . . intelligent. . . unrivalled."" Now available as a three-in-one paperback, it will be welcomed by new and seasoned students and scholars of modern philosophy as a reference work that no library should be without. - from Amzon",,
"A Jarrold Guide to the University City of Cambridge (Jarrold City Guide Series)","Sally Kent",,,,"Jarrold Pub",,2002,,071170581X,9780711705814,,E1,Unknown,,Book,"Contains detailed maps of each city center, with illustrated walking tours. This title also includes alphabetical lists of various attractions with their locations and telephone numbers. - from Amzon","General, General, General",
"A Nan Takana (Apa yang Teringat)","H. Marthias Dusky Pandoe",,,,"Penerbit Buku Kompas",1,2001,,9797090027,,,H3,Biography,,Book,,,
"A Prince in a Republic: The Life of Sultan Hamengku Buwono IX of Yogyakarta","John Monfries",,,,"Institute of Southeast Asian Studies",,2015,,9814519383,9789814519380,,I2,Unknown,,Book,"Hamengku Buwono IX, the late Sultan of Yogyakarta Special Province, is revered by Indonesians as one of the great founders of the modern Indonesian state. He leaves a positive but in some ways ambiguous legacy in political terms. His most conspicuous achievement was the survival of hereditary Yoqyakartan kingship, and he provided rare stability and continuity in Indonesia's highly fractured modern history. Under the New Order, Hamengku Buwono also helped to launch the Indonesian economy on a much stronger growth path. Although remembered as the epitome of ""political decency"", he faded from power and influence as Vice President in the 1970s, and the repressive and anti-democratic features of Suharto's New Order seemed to contradict much of what Hamengku Buwono originally stood for. This biography seeks to explain his political standpoint, motivations, and achievements, and set his career in the context of his times. - from Amzon",,
"A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing (Ninth Edition)","Burton G. Malkiel",,,,"W. W. Norton & Company",9,2007,,0393062457,9780393062458,,H2,Unknown,,Book,"<p><strong>The million-copy bestseller, revised and updated with new investment strategies for retirement and the insights of behavioral finance.</strong></p> Updated with a new chapter that draws on behavioral finance, the field that studies the psychology of investment decisions, here is the best-selling, authoritative, and gimmick-free guide to investing. Burton Malkiel evaluates the full range of investment opportunities, from stocks, bonds, and money markets to real estate investment trusts and insurance, home ownership, and tangible assets such as gold and collectibles. This edition includes new strategies for rearranging your portfolio for retirement, along with the book’s classic life-cycle guide to investing, which matches the needs of investors in any age bracket. <i>A Random Walk Down Wall Street</i> long ago established itself as a must-read, the first book to purchase before starting a portfolio. So whether you want to brief yourself on the ways of the market before talking to a broker or follow Malkiel’s easy steps to managing your own portfolio, this book remains the best investing guide money can buy. - from Amzon","Economics, Introduction",
"A Short History of Bali Indonesia's Hindu Realm","Robert Pringle",,,,Talisman,1,2011,,,9789810885069,,I2,History,,Book,,,"Short History of Asia Series"
"A Study of the Eastern Waterfront of MumbaiI","Rahul Mehrotra; Anirudh Paul; Pankaj Joshi",,,,"Urban Design Research Institute",,2004,,8190197401,,,D1,,,Book,,,
"A Tour of the Calculus","David Berlinski",,,,"Pantheon Books",1st,1995,,0679426450,9780679426455,,H3,Unknown,,Book,"In its largest aspect, the calculus functions as a celestial measuring tape, able to order the infinite expanse of the universe. Time and space are given names, points, and limits; seemingly intractable problems of motion, growth, and form are reduced to answerable questions. Calculus was humanity's first attempt to represent the world and perhaps its greatest meditation on the theme of continuity. Charts and graphs throughout. - from Amzon","Calculus, Calculus",
"A Way to Measure Time: Contemporary Finnish Literature","Bo Carpelan",,,,"Finnish Literature Society","1st ed",1992,,9517176953,9789517176958,,K1,Literature,,Book,"Finnish Literature, Anthology - from Amzon","Movements & Periods, Literature",
"A World History of Art","Hugh Honour; John Fleming",,,,Papermac,,1984,,0333371852,9780333371855,,H1,Art,,Book,"A World History of Art [May 24, 1984] Honour, Hugh and Fleming, John - from Amzon","art, history",
"Abitare: Reading the Designed Environment",,,,,"FANTINI rubinetti",,,,,,,G3,Design,,Publication,,,
"Abstract Emotions",,,,,,1,1998,,9799542405,,,Marco's,Art,,Book,,,
"Abstract Emotions","Pacita Abad",,,,,1,1998,,,,,L2,Art,,Book,,,
"Aceh-Nias Settlement and Housing Recovery",,,,,UN-Habitat,,2009,,,9789211321425,,D1,,,Book,,,
"Aceh: Kembali ke Masa Depan","Sardono W. Kusumo",,,,,1,2005,,979377827x,,,K3,History,,Book,,"AD Pirous, Abdul Hadi, Agus Budi Purnomo, Bedu Saini, Hasballah M. Saad, Teuku H. Ibrahim Alfian, Kamal A. Arif, M. Junus Melalatoa, T.A. Sanny, Teuku Jacob",
"Acting Asian. Contradictions in a Globalizing World",,,"Myra Theresa Torralba",,"Japan Foundation",,2005,,,,,B1,,,Book,,,
"Advancing Inclusive and Sustainable Urban Development: Correcting Planning Failures and Connecting Communities to Capital","Eric S. Belsky; Nicholas DuBroff; Daniel McCue; Christina Harris; Shelagh McCartney; Jennifer Molinsky",,,,"Joint Center for Housing Studies of Harvard University",,2013,,,,,E2,,,Publication,,,
"Adventures of Ideas","Alfred North Whitehead",,,,"The Macmillan Company","First American Edition",1933,,0026272202,9780026272209,,G1,Unknown,,Book,"Attempts to assess the differences between ancient and contemporary philosophical thought on the nature of society - from Amzon","World, Modern, History",
"Advokasi HIV AIDS. Pengalaman Koalisi GDP Jawa bersama San!. Sebuah Perjalanan dan Refleksi. ""A Journey of Learning and Reflection"".","Titiek Kartika Hendrastiti",,,,,,,,,9789791916158,,B1,,,Book,,,
Affandi,,,"Sardjana Sumichan",,"Yayasan Bina Lestari Budaya",1,2007,,,9789810591564,,I1,Art,,Book,,"vol I, II and III",
"African Theatre for Development",,,,,"Intellect Ltd",,1998,,1871516773,9781871516777,,C2,Unknown,,Book,"<div><I>African Theatre for Development</I> acts as a forum for investigating how African Theatre works and what its place is in this postmodern society. It provides the subject with a degree of detail unmatched in previous books, reflecting a new approach to the study of the performing arts in this region. The collection:<BR><BR>• reveals the dynamic position of the arts and culture in post-independent countries as well as changes in influences and audiences,<BR>• shows African theatre to be about aesthetics and rituals, the sociological and the political, the anthropological and the historical,<BR>• examines theatre's role as a performing art throughout the continent, representing ethnic identities and defining intercultural relationships,<BR>• investigates African theatre's capacity to combine contemporary cultural issues into the whole artistic fabric of performing arts, and<BR>• considers the variety of voices, forms and practices through which contemporary African intellectual circles are negotiating the forces of tradition and modernity.<BR><BR>The book provides an opportunity to discover contemporary material from experts, critics and artists from across the world. The contributions are in a language and style that allow them to be read either as aids to formal study or as elements of discussion to interest the general reader.</div> - from Amzon","History & Criticism, African, Sociology, African & Middle Eastern, Theater, Sociology",
"African Theatre in  Development","Martin Banham; James Gibbs; Femi Osofisan",,,,"Indiana University Press",,2000,,,,,E3,Urbanism,,Book,,,
"Against the Current: A Biography of Soedarpo Sastrosatomo","Rosihan Anwar",,,,"Pustaka Sinar Harapan",,2003,,9794167665,,,C2,,,Book,,,
"Age of The Book: Why Publishing Has Never Been Better",,,,,Prospect,,2002,,,,,H2,"Social Activism",,Publication,,,
"Agenda Baru Perkotaan: Deklarasi Quito Mengenai Perkotaan dan Permukiman Berkelanjutan untuk Semua",,,,,"Kementerian PU Republik Indonesia",,2017,,,,,F1,Urbanism,,Publication,,,
"Ahli Waris Budaya Dunia","Maya H.T. Liem",,"Jennifer Lindsay",,KITLV-Jakarta,1,2011,,,9789793790640,,K1,"Indonesian Studies",,Book,,"Indonesian, cultural history",
"Air Berkah atau Musibah?",,,,,"Jurnal Tata Kota",,2014,,,,,G3,Urbanism,,Publication,,,"Jurnal Tata Kota"
"Air untuk Kehidupan: Mengairi Negeri Mengantar Kehidupan","Tim Dompet Dhuafa",,,,"Dompet Dhuafa",,2013,,,9786027807228,,G2,,,Book,,,
"Aku ini Binantang Jalang","Chairil Anwar",,,,"Penerbit PT Gramedia",,1986,,,,,I1,Literature,,Book,,,
"Alam Jakarta: Sebuah Panduan Keanekaragaman Hayati yang Tersisa di Jakarta","Ady; Frank Momberg",,,,"Murai Kencana",,2008,,,9789791819022,,F2,,,Book,,,
"Ali Sadikin. Empu Peradaban Kota",,,,,"Institut Kesenian Jakarta",,,,,,,F2,,,Publication,,,
"Ali Sadikin. Membenahi Jakarta Menjadi Kota yang Manusiawi","Ramadhan K.H.",,,,"Ufuk Press",1,2012,,,9786027689015,,F2,Biography,,Book,,,
"All Barcelona",,,,,,,1995,,8437806275,9788437806273,,D1,Unknown,,Book,,,
"All London: Colour Photographs","Editorial Escudo de Oro",,,,FISA,,1989,,8437810108,9788437810102,,D1,Unknown,,Book,"Pictorial guide to London with 165 colour illustrations. - from Amzon",,
"All Madrid (English Edition)","Erica Restall",,,,"Editorial Escudo De Oro","4th Printing",1982,,8437804248,9788437804248,,D1,Unknown,,Book,,,
"All that is solid melts into air. the experience of modernity","Marshall Berman",,,,Verso,,1985,,0860917851,9780860917854,,G1,Unknown,,Book,,,
"Alternatives - Contemporary Art Spaces in Aisa",,,,,Tankosha,,2004,,4473032116,9784473032119,,K1,Art,,Book,,,
"Alvar Aalto: The Complete Catalogue of Architecture, Design, and Art","Goran Schildt",,,,Rizzoli,,1994,,0847818187,9780847818181,,J3,Architecture,,Book,"One of the masters of modern architecture, Alvar Aalto (1898-1976) was a prolific and influential architect, a gifted painter, and a talented, world-renowned designer. In this comprehensive catalogue all his known works from the early 1920s to his final designs in the 1970s are presented and described. With the full cooperation of the Alvar Aalto Foundation, Goran Schildt has explored its archives, and some 20,000 letters, memoranda and contemporary newspaper cuttings as well as many building models, to ensure that every work is included in this volume. It contains full descriptions, accompanied by abundant illustrations, of all of Aalto's realized and unrealized architectural projects: regional and urban plans, churches, theaters, libraries, museums, office and factory buildings, public housing, and private residences. Aalto's design skill is prominently featured in his furniture, light fixtures, glass, objets d'art, textiles, jewelry, graphic design, and stage sets. The present volume catalogues Aalto's vast oeuvre, including many projects never before seen by the public, and uncovers information about Aalto's competition entries, his clients and colleagues, that is crucial to a complete understanding of Aalto's visionary impact on modern architecture, art, and design. - from Amzon","Individual Architects & Firms, History, Furniture, Architecture",
"Always Prepare: Living with Changes",,,,,"Thailand Creative & Design Center",,2012,,,9786162351433,,D2,,,Book,,,
"Amburadulnya Integritas","J.E. Sahetapy",,,,"Komisi Hukum Nasional Republik Indonesia",,2011,,,9789793452326,,C1,,,Book,,,
"American Masterworks: The Twentieth-Century House","Kenneth Frampton",,,,Rizzoli,"First Edition",1995,,0847818942,9780847818945,,D1,Unknown,,Book,"Surveys modern domestic architecture, and describes the influences of Frank Lloyd Wright, Michael Graves, Philip Johnson, and others. - from Amzon","Residential, History, Regional, History, Design & Construction, Architecture",
"Among the Dead Cities: Is the Targeting of Civilians in War Ever Justified?","A. C. Grayling",,,,"Bloomsbury Publishing PLC",,2007,,0747586039,9780747586036,,H2,Unknown,,Book,"Britain and the USA carried out a massive bombing offensive against the cities of Germany and Japan in the course of the Second World War, which ended with the destruction of Hamburg, Dresden, Tokyo, Hiroshima and Nagasaki. Was the bombing of civilian targets justified by the necessities of war? Or was it, in fact, a crime against humanity? How should we, the descendants of the Allies who won the victory in that war, reply to the moral challenge of the descendants of those whose cities were targeted? A.C. Grayling looks at the stands people took, both for and against, and crucially asks what the lessons are that we can learn for today about how people should behave in a world of tension and moral confusion, of terrorism and fragile democracies. ""Among the Dead Cities"" is both a lucid and revealing work of modern history and an investigation of conscience into one of the last remaining controversies of that time. - from Amzon",,
"An Afternoon Walk & Domino Competition in Kampung Arab",,,,,Ayorek!,001,2013,,,9772338873007,,A1,Journalism,,Journal,,"surabaya, kampungarab",
"An Inconvenient Truth : The Planetary Emergency of Global Warming and What We Can Do about It","Al Gore",,,,"Rodale Books","First Edition",2017,,0747589062,9780747589068,,G1,Unknown,,Book,"Gore's bestselling book is now adapted for perhaps the most important audience of all: today's youth, who have no choice but to confront the planetary emergency head-on. Bursting with color photos, this book clearly explains global warming. (Environmental Studies) - from Amzon",,
