"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"383","Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets","Nassim Nicholas Taleb","","","","Random House Trade Paperbacks","Updated",2005,NA,"158799190X",9781587991905,"","H1","Unknown",NA,"Book","","Success, Finance, Investing, Statistics, Statistics, Free Will & Determinism",""
"425","Goh Keng Swee: A Portrait","Tan Siok Sun","","","","Didier Millet,Csi","Reprint",2010,NA,"9814260398",9789814260398,"","H1","Biography",NA,"Book","Dr. Goh Keng Swee?s public career spanned two eventful decades. He was a founding member of Singapore?s ruling political party, and played a significant role in creating and shaping the destiny of Singapore today. This is an anecdotal account of Dr Goh?s life-story told by the author, his daughter-in-law. Tan Siok Sun traces Dr Goh?s footsteps from his humble beginnings in Melaka, to his days at Raffles College and the London School of Economics, to his service in the Singapore Government, and to his retirement. - from Amzon","Asia, Political, Southeast Asia",""
"441","Growing Pains: The Chinese and the Dutch in Colonial Java, 1890-1942","Mona Lohanda","","","","Yayasan Cipta Loka Caraka","First Edition",2017,NA,"979972290X",9789799722904,"","H1","Unknown",NA,"Book","","",""
"449","Hak Asasi Nelayan. Terobosan Konstitusi untuk Selamatkan Rakyat","Riza Damanik","","","","Koalisi Rakyat untuk Keadilan Perikanan (KIARA)","",2012,NA,"",9789791955959,"","H1","",NA,"Book","","",""
"478","History of South East Asia","D.G.E. Hall","","","","Palgrave","4th",1981,NA,"0333241649",9780333241646,"","H1","History",NA,"Book","The standard history of Southeast Asia as a coherent region, by one of the leading scholars in the field. - from Amzon","Southeast Asia, Asia",""
"485","How to Change the World: Social Entrepreneurs and the Power of New Ideas","David Bornstein","","","","Oxford University Press","1",2004,NA,"0195138058",9780195138054,"","H1","Unknown",NA,"Book","What business entrepreneurs are to the economy, social entrepreneurs are to social change. They are, writes David Bornstein, the driven, creative individuals who question the status quo, exploit new opportunities, refuse to give up--and remake the world for the better. <br> <em>How to Change the World</em> tells the fascinating stories of these remarkable individuals--many in the United States, others in countries from Brazil to Hungary--providing an <em>In Search of Excellence</em> for the nonprofit sector. In America, one man, J.B. Schramm, has helped thousands of low-income high school students get into college. In South Africa, one woman, Veronica Khosa, developed a home-based care model for AIDS patients that changed government health policy. In Brazil, Fabio Rosa helped bring electricity to hundreds of thousands of remote rural residents. Another American, James Grant, is credited with saving 25 million lives by leading and 'marketing' a global campaign for immunization. Yet another, Bill Drayton, created a pioneering foundation, Ashoka, that has funded and supported these social entrepreneurs and over a thousand like them, leveraging the power of their ideas across the globe. <br> These extraordinary stories highlight a massive transformation that is going largely unreported by the media: Around the world, the fastest-growing segment of society is the nonprofit sector, as millions of ordinary people--social entrepreneurs--are increasingly stepping in to solve the problems where governments and bureaucracies have failed. <em>How to Change the World</em> shows, as its title suggests, that with determination and innovation, even a single person can make a surprising difference. For anyone seeking to make a positive mark on the world, this will be both an inspiring read and an invaluable handbook. - from Amzon","Volunteer Work, Entrepreneurship, Philanthropy & Charity, Politics & Government, Economics, Entrepreneurship, Political Science",""
"561","Invitation to Sociology","Peter L. Berger","","","","Pelican / Penguin Books","",1975,NA,"0140208410",9780140208412,"","H1","Unknown",NA,"Book","","",""
"617","Jurnal Perempuan 32. Perempuan dan Fundamentalisme","","","","","Yayasan Jurnal Perempuan","",2003,NA,"",NA,"1410153X","H1","",NA,"Journal","","",""
"635","Kakawin Sutasoma","Mpu Tantular","","","","Komunitas Bambu","",2009,NA,"9793731559",NA,"","H1","Literature",NA,"Book","","",""
"636","Kakawin Sutasoma","Mpu Tantular","","","","Komunitas Bambu","",2009,NA,"",NA,"","H1","",NA,"Book","","",""
"664","Kecil itu Indah","E.F. Schumacher","","","","LP3ES","",1979,NA,"",NA,"","H1","",NA,"Book","","",""
"665","Kekuasaan Raja, Syeikh, dan Ambtenaar: Pengetahuan Simbolik & Kekuasaan Tradisional Makassar 1300-2000","","","","","Penerbit Ininnawa","",2009,NA,"",9789799849984,"","H1","",NA,"Book","","",""
"676","Kisah Sukses Wikipedia. Ensiklopedia Gratis Terbesar dan Terpopuler di Dunia","Andrew Lih","","","","PT Gramedia Pustaka Utama","",2009,NA,"",9789792247596,"","H1","",NA,"Book","","",""
"712","Kuasa Berkat dari Belantara dan Langit","Kees Buijs","","","","Penerbit Ininnawa","",2009,NA,"",9786029523126,"","H1","",NA,"Book","","",""
"713","Kuasa dan Usaha di Masyarakat Sulawesi Selatan","","","Roger Tol; Kees van Dijk; Greg Acciaioli","","Penerbit Ininnawa","",2009,NA,"",9789799849977,"","H1","",NA,"Book","","",""
"759","MANABU. Journal of Japanese Studies. Japan in Asia","","","","","MANABU Institute","Vol. No. 1 August 2005",2005,NA,"",NA,"02162997","H1","",NA,"Journal","","",""
"760","MANABU. Journal of Japanese Studies. The Future of Japan","","","","","MANABU Institute","Vol. 2 No. 1 June 2007",2007,NA,"",NA,"02162997","H1","",NA,"Journal","","",""
"769","Manusia, Perempuan, Laki-laki","Edi Riyadi Terre; Gadis Arivia; Moh Yasir Alimi; Neng Dara Affiah","","","","Komunitas Salihara-Hivos","",2013,NA,"",9786029666052,"","H1","",NA,"Book","","",""
"779","Masala Bumbu: Enhancing the India-Indonesia Partnership","","","Gurjit Singh","","Jakarta Globe Media","",2015,NA,"",NA,"","H1","",NA,"Book","","",""
"812","Mengubah Dunia. Kewirausahaan Sosial dan Kekuatan Gagasan Baru","","","","","INSIST","",2006,NA,"9793457724",NA,"","H1","Social Activism",NA,"Book","","",""
"877","New China","Philippe Massonnet; Hannah Taieb","","","","Tuttle Publishing","",1999,NA,"080482116X",9780804821162,"","H1","Unknown",NA,"Book","Emerging Capitalism in China is causing tumultuous cultural change, as the pursuit of political freedom intersects with a superpower economy and the pursuit of enormous personal wealth. - from Amzon","Development & Growth, China, Social Sciences, Cultural, Sociology",""
"889","No Logo: No Space, No Choice, No Jobs","Naomi Klein","","","","Picador","1st US - 1st Printing",2002,NA,"0312421435",9780312421434,"","H1","consumerism",NA,"Book","","Company Profiles, Ethics, Economics, Economics, Radicalism, Economics, Business Ethics, Political Science",""
"901","Onze Ong: Onghokham dalam Kenangan","","","David Reeve; J.J. Rizal; Wasmi Alhaziri","","Komunitas Bambu","",2007,NA,"",9789793731186,"","H1","",NA,"Book","","",""
"905","Orang-orang di persimpangan kiri jalan: Kisah pemberontakan Madiun September 1948","Hok Gie Soe","","","","Yayasan Bentang Budaya","Cet. 1",1997,NA,"9798793315",9789798793318,"","H1","Unknown",NA,"Book","History of the Indonesian Communist Party's rebellion in Madiun, 1948 also known as Peristiwa Madiun or Madiun Affair. - from Amzon","",""
"941","Pembebasan budaya-budaya kita","Agus R. Sarjono","","","","PT Gramedia Pustaka Utama","Cet. 1",1999,NA,"9796554798",9789796554799,"","H1","Unknown",NA,"Book","Essays on Indonesian culture; collection of papers. - from Amzon","",""
"1014","Population Trends in Indonesia","Widjojo Nitisastro","","","","Equinox Publishing","1st Equinox Ed",2006,NA,"9793780436",9789793780436,"","H1","Unknown",NA,"Book","The first comprehensive demographic study of Indonesia, this book makes an important contribution to the understanding of the political and economic problems - both past and present - of the world's fourth most populous country. It demonstrates that the period 1970 to 1980 will be particularly crucial for Indonesia and will require careful social and economic planning. The author, who is acknowledged to be Indonesia's foremost economist demographer,amasses and corrects population estimates made during the era of Dutch rule, including material from as early as 1775. He discusses the census of 1930 and the impact of events of the 1940's - World War II, the Japanese occupation, and the Indonesian revolution - on population trends. He points out, for example, that low birth and high mortality rates during the subsequent period, suggest that the mean age of Indonesia's working age population is undergoing a radical rejuvenation.  Using the census of 1961 as a base, Mr. Widjojo projects Indonesia's population to 1991, forecasting the probable growth rates of the total population and of its various components. He shows how the population breaks down into extremely uneven age groups and suggests the serious consequences of this situation. He emphasizes that the dramatic increases in the number of 15-to-24-year-olds that occurred in the population during the second half of the 1960's and that are projected for the 1970's make careful preparation for the future imperative if crises in the labor market and in the field of education are to be dealt with successfully.  Population Trends in Indonesia, now brought back to life as a member of Equinox Publishing's Classic Indonesia series, serves as a model for future research and proves invaluable to economic and social planners working throughout the developing world.  Widjojo Nitisastro, former Dean of the Faculty of Economics at the University of Indonesia, was Chairman of President Suharto's Economic Team and of the National Development Planning Agency. A graduate of the University of Indonesia, Professor Widjojo received a Ph.D. degree in Economics from the University of California at Berkeley. - from Amzon","Demography, Sociology, Sociology",""
"1048","Protes Publik Penerbangan Indonesia","Agus Pambagio","","","","PT Gramedia Pustaka Utama","",2013,NA,"",9789792294125,"","H1","",NA,"Book","","","Seri Pendidikan Kebijakan Publik"
"1104","Ruh Islam dalam budaya bangsa : konsep estetika","","","","","Yayasan Festival Istiqlal","",1996,NA,"9798175905",NA,"","H1","",NA,"Book","","",""
"1145","Sejarah Tolaki di Konawe","","","","","TERAS","",2011,NA,"",9784069783288,"","H1","",NA,"Book","","",""
"1183","Soe Hok Gie: Pergulatan Intelektual Muda Melawan Tirani","John Maxwell","","","","Pustaka Utama Grafiti","",2001,NA,"9794444227",NA,"","H1","",NA,"Book","","",""
"1251","Tempat Terbaik di Dunia: Pengalaman Seorang Antropolog Tinggal di Kawasan Kumuh Jakarta","Roanne Van Voorst","","","","Marjin Kiri","",2018,NA,"",9789791260794,"","H1","Philosophy",NA,"Book","","",""
"1350","The Nature of the Physical World","A. S. Eddington","","","","J.M. Dent & Sons Ltd","",1955,NA,"",NA,"","H1","Unknown",NA,"Book","This scarce antiquarian book is a facsimile reprint of the original. Due to its age, it may contain imperfections such as marks, notations, marginalia and flawed pages. Because we believe this work is culturally important, we have made it available as part of our commitment for protecting, preserving, and promoting the world's literature in affordable, high quality, modern editions that are true to the original work. - from Amzon","",""
"1353","The New Fontana Dictionary of Modern Thought","Alan Bullock; Stephen Trombley","","","","HarperCollins Publishers Ltd","3rd",2000,NA,"0006863833",9780006863830,"","H1","Unknown",NA,"Book","A fully revised and updated edition of this unique, well-established, classic work of reference and companion to all fields of modern thought.First published in Fontana paperback in 1977; second revised edition published in Fontana paperback in 1988; the third substantially revised edition made its first ever appearance in hardback in 1999.The Fontana Dictionary of Modern Thought has been continuously in print in earlier editions for more than twenty years. The New Fontana Dictionary of Modern Thought contains some 4000 entries by 326 expert contributors. Nearly 1000 entries are entirely new; and most of those that survive from the previous (1988) edition have been substantially revised or newly written for this edition. Areas which have been expanded include computing, identity politics and environmental studies, and there are new entries on God, communitarianism, perestroika, new world order, afrocentricity, ebonics, third wave feminism, hypertext, virtual reality, culture jamming, cloning, post-colonialism, fuzzy logic, artificial life, paper architecture, infopreneur... - from Amzon","",""
"1357","The Omnivore's Dilemma: A Natural History of Four Meals","Michael Pollan","","","","Penguin","",2007,NA,"",9780143038580,"","H1","Unknown",NA,"Book","<b>One of the <i>New York Times Book Review's </i>Ten Best Books of the Year</b><br><br> <b>Winner of the James Beard Award<br><br> Author of #1 <i>New York Times</i> Bestsellers <i>In Defense of Food </i>and <i>Food Rules</i></b><br><br>What should we have for dinner? Ten years ago, Michael Pollan confronted us with this seemingly simple question and, with <i>The Omnivore’s Dilemma, </i>his brilliant and eye-opening exploration of our food choices, demonstrated that how we answer it today may determine not only our health but our survival as a species. In the years since, Pollan’s revolutionary examination has changed the way Americans think about food. Bringing wide attention to the little-known but vitally important dimensions of food and agriculture in America, Pollan launched a national conversation about what we eat and the profound consequences that even the simplest everyday food choices have on both ourselves and the natural world. Ten years later, <i>The Omnivore’s Dilemma</i> continues to transform the way Americans think about the politics, perils, and pleasures of eating. - from Amzon","History, Paleo, Vegan, Nutrition, Reference, Popular Culture",""
"1363","The Power of Wakaf","Ismail A. Said","","","","Dompet Dhuafa","",2013,NA,"",9786027807167,"","H1","",NA,"Book","","",""
"1364","The Predicament of Democratic Man","","","","","MacFadden-Bartell Corporation","",1971,NA,"",NA,"","H1","",NA,"Book","","",""
"1375","The Silent Language","Edward T. Hall","","","","Fawcett Publications, Inc","",1961,NA,"",NA,"","H1","",NA,"Book","","",""
"1446","Twentieth Century: A History of the World from 1901 to the Present (Allen Lane History)","J. M. Roberts","","","","Allen Lane","First Printing",1999,NA,"0713992573",9780713992571,"","H1","Unknown",NA,"Book","","",""
"1501","What's Mine Is Yours: The Rise of Collaborative Consumption. Rachel Botsman, Roo Rogers","Rachel Botsman","","","","Collins","",2011,NA,"0007395914",9780007395910,"","H1","consumerism",NA,"Book","In the 20th century humanity consumed products faster than ever, but this way of living is no longer sustainable. This new and important book shows how technological advances are driving forms of `collaborative consumption' which will change forever the ways in which we interact both with businesses and with each other.The average lawn mower is used for four hours a year. The average power drill is used for only twenty minutes in its entire lifespan. The average car is unused for 22 hours a day, and even when it is being used there are normally three empty seats. Surely there must be a way to get the benefit out of things like mowers, drills and even cars, without having to carry the huge up-front costs of ownership?There is indeed. Collaborative consumption is not just a buzzword, it is a new win-win way of life. This insightful and thought-provoking new book by Rachel Botsman and Roo Rogers is an important and fast-moving survey of the dramatic changes we are seeing in the way we consume products.Many of us are familiar with freecycle, eBay, couchsurfing and Zipcar. But these are just the beginning of a new phenomenon. Rachel Botsman and Roo Rogers have interviewed business leaders and opinion formers around the world to draw together the many strands of Collaborative Consumption into a coherent and challenging argument to show that the way we did business and consumerism in the 20th century is not the way we will do it in the 21st century. - from Amzon","Macroeconomics, Consumer Behavior, Social Sciences",""
"1513","Zaman Peralihan","So Hok Gie","","","","Yayasan Bentang Budaya","",1999,NA,"",NA,"","H1","",NA,"Book","","",""
