"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"263","Common Stocks and Uncommon Profits and Other Writings","Philip A. Fisher","","","","Wiley","2",2003,NA,"0471445509",9780471445500,"","H2","Unknown",NA,"Book","Widely respected and admired, Philip Fisher is among the most influential investors of all time. His investment philosophies, introduced almost forty years ago, are not only studied and applied by today's financiers and investors, but are also regarded by many as gospel. This book is invaluable reading and has been since it was first published in 1958. The updated paperback retains the investment wisdom of the original edition and includes the perspectives of the author's son Ken Fisher, an investment guru in his own right in an expanded preface and introduction <p>""I sought out Phil Fisher after reading his<i> Common Stocks and Uncommon Profits</i>...A thorough understanding of the business, obtained by using Phil's techniques...enables one to make intelligent investment commitments.""<br /> —<b>Warren Buffet</b></p> - from Amzon","Economics, Stocks, Investments & Securities",""
"269","Confessions (The Penguin Classics)","Augustine","","","","Penguin Books","Reprint",1961,NA,"014044114X",9780140441147,"","H2","Unknown",NA,"Book","This series brings you the most influential philosophy books of all ages in a convenient format. From Plato to Nietzsche, these timeless masterpieces of philosophical literature have shaped our civilization and culture. This anthology is a must-have addition to any library. - from Amzon","Religious, Religion & Spirituality, Religious",""
"281","Cooperation South","","","","","United Nations Development Programme","No. 1",1999,NA,"",NA,"02593882","H2","",NA,"Journal","","",""
"299","Decent Capitalism: A Blueprint for Reforming our Economies","Sebastian Dullien; Hansjorg Herr; Christian Kellermann","","","","Pluto Press","",2011,NA,"0745331092",9780745331096,"","H2","Unknown",NA,"Book","<P style=""BORDER-TOP-COLOR: ; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; MARGIN: 0in 0in 10pt; BORDER-RIGHT-COLOR: "">The recent crisis, created by finance capitalism, has brought us to the economic abyss. The excessive freedom of international markets has rapidly transformed into international panic, with states struggling to rescue and bail out a globalised financial sector. Reform is promised by our leaders, but in governments dominated by financial interests there is little hope of meaningful change.<BR><BR><I>Decent Capitalism</I> argues for a response that addresses capitalism’s systemic tendency towards crisis, a tendency which is completely absent from the mainstream debate. The authors develop a concept of a moderated capitalism that keeps its core strengths intact while reducing its inherent destructive political force in our societies. This book argues that reforming the capitalist system will have to be far more radical than the current political discourse suggests.<BR><BR><I>Decent Capitalism</I> is a concept and a slogan that will inspire political activists, trade unionists and policy makers to get behind a package of reforms that finally allows the majority to master capitalism. <div></div> - from Amzon","Economic Conditions, Theory, Democracy, European",""
"337","Economic Geography","","","","","Prentice-Hall","2",1979,NA,"0876920741",NA,"","H2","economy",NA,"Book","","",""
"340","Economics of Industrial Ecology: Materials, Structural Change, and Spatial Scales (MIT Press)","","","","","The MIT Press","",2004,NA,"0262220717",9780262220712,"","H2","Unknown",NA,"Book","<p><b>Studies that integrate scientific, technological, and economic dimensions of industrial ecology and material flows.</b></p><p>The use of economic modeling techniques in industrial ecology research provides distinct advantages over the customary approach, which focuses on the physical description of material flows. The thirteen chapters of <i>Economics of Industrial Ecology</i> integrate the natural science and technological dimensions of industrial ecology with a rigorous economic approach and by doing so contribute to the advancement of this emerging field. Using a variety of modeling techniques (including econometric, partial and general equilibrium, and input-output models) and applying them to a wide range of materials, economic sectors, and countries, these studies analyze the driving forces behind material flows and structural changes in order to offer guidance for economically and socially feasible policy solutions.</p><p>After a survey of concepts and relevant research that provides a useful background for the chapters that follow, the book presents historical analyses of structural change from statistical and decomposition approaches; a range of models that predict structural change on the national and regional scale under different policy scenarios; two models that can be used to analyze waste management and recycling operations; and, adopting the perspective of local scale, an analysis of the dynamics of eco-industrial parks in Denmark and the Netherlands. The book concludes with a discussion of the policy implications of an economic approach to industrial ecology.</p> - from Amzon","Environmental Economics, Environmental, Ecology, Environmental Science, Essays & Commentary, Environment",""
"356","Environmental and Natural Resources Economics: Theory, Policy and the Sustainable Society","Steven Hackett; Sahan T. M. Dissanayake","","","","Routledge","2",2001,NA,"076560681X",9780765606815,"","H2","Unknown",NA,"Book","With over 25% new material, this new edition of Environmental and Natural Resources Economics offers an accessible and balanced treatment of economic theory and policy relating to the environment, as well as a thorough overview of the economics of sustainability. Intended for both students and practioners, the book has been completely updated to include discussion and analysis of the latest U.S. and international environmental policy initiatives -- such as the Kyoto Protocol--and how they affect the global economy. Fully-integrated web source linkages have also been added throughout to enable all readers to make better use of the book's own website and a myriad of other available internet resources for research and supplemental reading on this crucial subject - from Amzon","Development & Growth, Economic Conditions, Environmental Economics, Sustainable Development, Systems & Planning, Strategic Planning, Political Economy, Public Affairs & Policy, Business Development, Public Policy",""
"434","Green to Gold: How Smart Companies Use Environmental Strategy to Innovate, Create Value, and Build Competitive Advantage","Daniel C. Esty; Andrew S. Winston","","","","Yale University Press","1",2006,NA,"0300119976",9780300119978,"","H2","Unknown",NA,"Book","<div>This book explains what every executive should know to manage the environmental challenges facing society and the business world. Based on the authors' rich experience with forward-thinking companies around the world, <I>Green to Gold</i> demonstrates how corporations create value by building environmental thinking into their overall business strategies. Daniel C. Esty and Andrew S. Winston provide clear 'how to' advice for making sense of environmental challenges, and they offer detailed case examples of how companies achieve both environmental and business success—establishing an eco-advantage in the marketplace.   <I>Green to Gold</i> is written for executives at all levels and businesses of all kinds. It guides the business leader through pollution and natural resource management issues and the growing pressure from outside stakeholders to strive for 'sustainability'. While highlighting successful strategies, Esty and Winston also examine why environmental initiatives may fail despite best intentions.   With practical suggestions for incorporating environmental thinking into core business strategy, and with a clear focus on execution—not legalisms, platitudes and abstractions—Esty and Winston present a thoughtful, pragmatic roadmap that shows how companies can use environmental pressures and responsibilities to spark innovation and drive growth.</div> - from Amzon","Ethics, Economic Conditions, Environmental Economics, Decision-Making & Problem Solving, Management, Systems & Planning, Personal Finance, Entrepreneurship, Green Business, Decision Making, History & Philosophy, Conservation, Environmentalism, Economics, Business Ethics, Entrepreneurship, Management, Science & Mathematics",""
"487","How to Grow Roses","","","","","Lane Pub. Co","4th",1980,NA,"0376036559",9780376036551,"","H2","Unknown",NA,"Book","","",""
"535","Indonesia: The Rise of Capital (Asian Studies Association of Australia)","Richard Robison","","","","Allen & Unwin","",1986,NA,"0049090240",9780049090248,"","H2","Unknown",NA,"Book","Studies of Indonesian politics have long focused upon the military and the bureaucracy because it is within these institutions that formal power is located, not the parties, unions, chambers of commerce or corporations. However, such an approach can neglect the powerful influences exerted upon the state by social and economic forces. This important and controversial new book examines the way in which one of these forces, capital, has emerged in the past two decades as a major influence upon the state, its officials and policies.  The emergence of the capitalist class is examined, along with its internal divisions and conflicts and its relations with the state. In particular, attention is given to the fusion of the ruling strata of state officials and the capitalist class – the potential basis for a new ruling class. This is set against the weakness of capital caused by its division into domestic and international, state and private, Chinese and indigenous. These factors are in turn set in the context of international influences – the rise and fall of the oil boom, the activities of the IBRD and IMF, the decline of export earnings and the fiscal difficulties of the state. Since its original publication in 1986, Indonesia: The Rise of Capital has been the best selling academic book on Indonesian politics and the most cited in the SSCI and Google Scholar citation indexes. <p> About the Author<p> At the time of this publication in 1986, Richard Robison was Senior Lecturer in the Asian Studies Program at Murdoch University. He is now Emeritus Professor at Murdoch University and has been Professor of Political Economy at the International Institute of Social Studies in The Hague (2003–2006) and Professor and Director of the Australian Research Council’s Special Centre for Research on Political and Social Change in Contemporary Asia (1995–1999). He is the author, editor of 14 books and has published in major international journals, including World Politics, World Development, Pacific Review, New Political Economy and the Journal of Development Studies. Professor Robison has been awarded Senior research fellowships from the Fulbright Foundation and the Leverhulme Trust. - from Amzon","Economic History, Economics",""
"536","Indonesia: Towards a Policy for Irrigation Management Modernization","","","","","The World Bank","",2013,NA,"",NA,"","H2","",NA,"Publication","","",""
"552","International Forum on Transforming Cities for Decent Work","","","","","","",2017,NA,"",NA,"","H2","",NA,"Publication","","labour, decent work",""
"553","International Forum on Transforming Cities for Decent Work","The City of Seoul","","","","The City of Seoul","",NA,NA,"",NA,"","H2","",NA,"Publication","","",""
"558","Introduction To Environmental Impact Assessment (Natural and Built Environment Series)","John Glasson; Riki Therivel; Andrew Chadwick","","","","Routledge","3",2005,NA,"0415338360",9780415338363,"","H2","Unknown",NA,"Book","<P>A clearly structured overview of a key subject, this work provides the student with not only a complete introductory text but also a book to support further studies. Written by three authors with extensive research and practical experience in Environmental Impact Assessment (EIA), the treatment is up to date and brings together currently fragmented information from many sources.  </P> <P>EIA is now firmly on the agenda as a result of the introduction of legislation at both national and international levels, and is very much in tune with widespread and growing concern about environmental issues and the impact of development on the environment. First introduced in the USA in the 1970s, the application of EIA has been accelerated in Europe by the 1985 EC directive, which led to its introduction in the UK in 1988, since when it has been a major growth area in planning practice. The originally anticipated 20 environmental impact statements per annum have now grown to well over 300, for projects such as power stations, roads, new settlements, mineral extraction schemes, waste-disposal installations and toursism developments, and this is but the tip of the iceberg. </P> <P>Based on highly successful courses at one of the leading schools of planning, this book should serve the need for an introduction to EIA that goes beyond first principles and is informed by a wealth of teaching, research and practical experience. </P> <P>Students on undergraduate and postgraduate planning programmes should find it useful as a course text, as will students of environmental management/policy, environmental sciences/studies, geography and the built environment. Planners, developers and decision makers in government and business should also welcome the book as a very effective means of getting to grips with a key new subject which they must fully integrate with their other activities.</P> - from Amzon","Landscape, Urban & Land Use Planning, Environmental, Environmental Science, Geography, Conservation, Environmentalism, Architecture, Earth Sciences, Environmental Studies",""
"559","Inventing for the Environment (Lemelson Center Studies in Invention and Innovation series)","","","","","The MIT Press","",2005,NA,"0262633280",9780262633284,"","H2","Unknown",NA,"Book","<p><b>Essays by historians and practioners on how invention can benefit the environment.</b></p><p>This ambitious book describes the many ways in which invention affects the environment (here defined broadly to include all forms of interaction between humans and nature). The book starts with nature itself and then leads readers to examine the built environment and then specific technologies in areas such as public health and energy.</p><p>Each part focuses on a single environmental issue. Topics range widely, from the role of innovation in urban landscapes to the relationship among technological innovation, public health, and the environment. Each part features an essay by a historian, an essay by a practitioner, and a ""portrait of innovation"" describing an individual whose work has made a difference. The mixture of historians and practitioners is critical because statements about the environment inevitably measure present and future conditions against those of the past. Early in the industrial revolution, smoke stacks were symbols of prosperity; at its end they were regarded as signs of pollution. Historical examples can also lead to the rediscovery of an old technology, as in the revival of straw bale construction. As it explores the history of invention for the environment, the book suggests many new ways to put the past to use for the common good.</p> - from Amzon","Economics, Environmental, Ecology, Environmental Science, Environment",""
"644","Kampung Perkotaan: Kajian Historis-Antropologis atas Kesenjangan Sosial dan Ruang Kota","Johny A. Khusyairi; La Ode Rabani","","","","ANRC (Australia-Netherlands Research Collaboration) Departemen Ilmu Sejarah Universitas Airlangga-Penerbit New Elmatera","",2010,NA,"",9789791853231,"","H2","",NA,"Book","","",""
"744","Lorong panjang: Laporan akhir tahun Kompas 2001","","","","","Penerbit Buku Kompas","",2017,NA,"9797090124",9789797090128,"","H2","Unknown",NA,"Book","Economic and social conditions in Indonesia during 2001; collection of articles. - from Amzon","",""
"752","Made in Commons","","","","","AFK","",2015,NA,"",NA,"","H2","Indonesian Studies",NA,"Publication","","",""
"781","Materials Count: The Case for Material Flows Analysis","National Research Council","","","","National Academies Press","1",2004,NA,"0309089441",9780309089449,"","H2","Unknown",NA,"Book","<p>The rising population and industrial growth place increasing strains on a variety of material and energy resources. Understanding how to make the most economically and environmentally efficient use of materials will require an understanding of the flow of materials from the time a material is extracted through processing, manufacturing, use, and its ultimate destination as a waste or reusable resource. <i>Materials Count</i> examines the usefulness of creating and maintaining material flow accounts for developing sound public policy, evaluates the technical basis for material flows analysis, assesses the current state of material flows information, and discusses who should have institutional responsibility for collecting, maintaining, and providing access to additional data for material flow accounts.</p> - from Amzon","Economic Policy & Development, Manufacturing, Materials Science, Economic Policy, Public Policy",""
"792","Membangun Kesepakatan Bersama di Kondisi Paska Konflik dan Bencana: Manual ""Building Bridges"" untuk Konteks Aceh dan Indonesia","","","","","United Nations Human Settlement Program","",2008,NA,"",NA,"","H2","",NA,"Book","","",""
"799","Menakar Feforma Agraria Dalam Visi-Misi","","","","","Suara Pembaruan Agraria","",NA,NA,"",NA,"","H2","Social Activism",NA,"Publication","","","Menakar Reforma Agraria "
"801","Menciptakan Keseimbangan yang Lebih Baik","","","","","","Volume 1. Kelompok Bank Dunia dan Industri-industri Ekstraktif",2003,NA,"",NA,"","H2","",NA,"Publication","","","Laporan Akhir Kajian Atas Industri-industri Ekstraktif (Extractive Industries Review - EIR)"
"809","Menggagas Sistem Pembiayaan Perumahan yang Efisien","Erica Soeroto","","","","Genta Publishing","",2016,NA,"",9786021500569,"","H2","",NA,"Book","","",""
"870","Nasionalisme Lingkungan: Pesan Konservasi dari Lambusango","Edi Purwanto","","","","Program Konservasi Hutan Lambusango","",2007,NA,"979254813X",NA,"","H2","",NA,"Book","","",""
"871","Naskah-naskah Kemanusiaan","Jaya Suprana","","","","PT Elex Media Komputindo","1",2018,NA,"",9786020452623,"","H2","Social Activism",NA,"Book","","",""
"915","Panduan tentang prinsip-prinsip keanekaragaman hayati untuk para praktisi dan perencana pembangunan","John MacKinnon; Colin Rees; Monina Uriarte","","","","ASEAN Regional Centre for Biodiversity Conservation","",2005,NA,"",NA,"","H2","",NA,"Book","","",""
"942","Pemberian Penghargaan Professor Teeuw Award 2007 Indonesia Bidang Arsitektur di Erasmus Huis Jakarta","","","","","Stichting Professor Teeuw Fonds","",2007,NA,"",NA,"","H2","Biography",NA,"Publication","","",""
"1001","Pikiran & Gagasan J. Panglaykim: Prinsip-prinsip Kemajuan Ekonomi","J. Panglaykim","","","","Penerbit Buku Kompas","",2011,NA,"",9789797095826,"","H2","",NA,"Book","","",""
"1028","Private Sector Investment in Infrastructure: Project Finance, PPP Projects and PPP Frameworks","Jeffrey Delmon","","","","Wolters Kluwer","3",2015,NA,"9041162739",9789041162731,"","H2","Unknown",NA,"Book","<p>Investment in infrastructure is critical to economic growth, quality of life, poverty reduction, access to education, good quality healthcare, and achieving many of the goals of a robust and dynamic economy. However, infrastructure is difficult for the public sector to get right.</p><p></p><p>This remarkably insightful and enormously useful book, now in its third edition, shows how the private sector (through public–private partnerships – PPP) can provide more efficient procurement through cheaper, faster, and better quality; refocus infrastructure services on consumer satisfaction and life cycle maintenance; place the financial burden of providing infrastructure on consumers rather than taxpayers; and provide new sources of investment, in particular through limited recourse debt (i.e., project financing). Taking the particular challenges associated with PPP fully into account. this book provides a practical guide to PPP in all the following ways and more:</p><p></p><ul><li>- how governments can enable and encourage PPP;</li><li>- how PPP financing works;</li><li>- what PPP contractual structures look like; and</li><li>- most importantly, how PPP risk allocation works in practice.</li></ul><p></p><p>Specific discussion of each infrastructure sector is provided.</p><p></p><p>Lawyers and business people, civil engineers, economic development officials and specialists, banking and insurance professionals, and academics will all find the ground well covered in this book, as well as new ground broken.</p> - from Amzon","Commercial, Foreign & International Law, Law",""
"1032","Profesi Hukum itu Asyik","","","","","","1",2017,NA,"617221073",NA,"","H2","",NA,"Book","","Alumni UI, Jusuf Kalla",""
"1033","Profesi Hukum Itu Asyik! Sarjana Hukum: Bukan Sekadar Pengacara & Hakim (Indonesian Edition)","Alumni Fakultas Hukum Universitas Indonesia","","","","PT Gramedia Pustaka Utama","",2017,NA,"6020371913",9786020371917,"","H2","Unknown",NA,"Book","Kuliah hukum? Mau jadi hakim ya? Atau pengacara atau jaksa? Notaris itu kerjanya apa sih? Menyiapkan kontrak? Apa bedanya dengan profesi pengacara? Untuk para mahasiswa fakultas hukum atau sarjana hukum yang baru mau berkarir di bidang hukum pasti sudah amat familiar dengan tuduhan mau menjadi hakim atau pengacara, atau kebingungan banyak orang untuk membedakan profesi notaris atau pengacara. Lewat PROFESI HUKUM ITU ASYIK! Sarjana Hukum Bukan Sekadar Pengacara & Hakim, kami para alumni Fakultas Hukum Universitas Indonesia (FHUI) angkatan 1992 akan mencoba mengenalkan beragam profesi hukum yang kelak dapat dijalani oleh adik-adik pelajar yang masih duduk di bangku Sekolah Menengah ataupun para mahasiswa fakultas hukum yang masih ‘galau’ dalam menentukan karir di masa depan. Ternyata seorang Sarjana Hukum (S.H.) dapat berkarier di berbagai bidang. Dalam buku ini kami coba pilihkan 25 profesi hukum yang dapat dijadikan acuan untuk berkarier, misalnya di bidang perbankan, migas, dan KPK, menjadi diplomat, wartawan, relawan, head hunter, serta masih banyak lainnya. Buku ini mencoba memperluas wawasan dan memberikan perspektif baru tentang profesi dalam bidang hukum yang dapat ditekuni. - from Amzon","",""
"1047","Projected Gender Impact of the ASEAN Economic Community","","","","","ASEAN Secretariat","",2016,NA,"",9786020980829,"","H2","",NA,"Book","","",""
"1052","Public-Private Partnership Programs: Creating a Framework for Private Sector Investment in Infrastructure","Jeffrey Delmon","","","","Kluwer Law International","",2017,NA,"9041152911",9789041152916,"","H2","Unknown",NA,"Book","This book fully describes the elements that make up an effective public-private partnership framework and covers in detail the topics that need to be considered in creating such a partnership. - from Amzon","",""
"1060","Radius of Art: Creatif Politicisation of the Public Sphere Cultural Potentials for Social Transformation","","","","","Radius","",2012,NA,"",NA,"","H2","Social Activism",NA,"Publication","","",""
"1076","Relativity; The Special and the General Theory","","","","","Methuen & Co LTD","",1960,NA,"",NA,"","H2","Physics",NA,"Book","","",""
"1079","Rencana Pengelolaan Lingkungan (RKL) & Rencana Pemantauan Lingkungan (RPL) Rencana Pengembangan Tahap I & II Kawasan Rekreasi dan Perumahan Kapuk - Jakarta Utara","PT Mandara Permai","","","","","",1995,NA,"",NA,"","H2","",NA,"Publication","","",""
"1081","Renungan dan Perjuangan","Sutan Sjahrir","","","","Penerbit Djambatan","",1990,NA,"9794281468",NA,"","H2","",NA,"Book","","",""
"1114","Saatnya Katakan YA untuk Organik","","","","","TupuTUpu Organik Stall","",NA,NA,"",NA,"","H2","Ecology",NA,"Publication","","",""
"1136","Security Analysis: The Classic 1951 Edition","Benjamin Graham","","","","McGraw-Hill Education","3",2004,NA,"0071448209",9780071448208,"","H2","Unknown",NA,"Book","<p>With nearly a million copies sold, <i>Security Analysis</i> has been continuously in print for more than sixty years. No investment book in history had either the immediate impact, or the long-term relevance and value, of its first edition in 1934. By 1951, seventeen years past its original publication and more than a decade beyond its revised and acclaimed 1940 second edition, authors Benjamin Graham and David Dodd had seen business and investment markets travel from the depths of Depression to the heights of recovery, and had observed investor behavior during both the calm of peacetime and the chaos of World War II.</p> <p>The prescient thinking and insight displayed by Graham and Dodd in the first two editions of <i>Security Analysis</i> reached new heights in the third edition. In words that could just as easily have been written today as fifty years ago, they detail techniques and strategies for attaining success as individual investors, as well as the responsibilities of corporate decision makers to build shareholder value and transparency for those investors.</p> <p>The focus of the book, however, remains its timeless guidance and advice--that careful analysis of balance sheets is the primary road to investment success, with all other considerations little more than distractions. The authors had seen and survived the Great Depression as well as the political and financial instabilities of World War II and were now better able to outline a program for sensible and profitable investing in the latter half of the century.</p> <p><i>Security Analysis: The Classic 1951 Edition</i> marks the return of this long-out-of-print work to the investment canon. It will reacquaint you with the foundations of value investing--more relevant than ever in tumultuous twenty-first century markets--and allow you to own the third installment in what has come to be regarded as the most accessible and usable title in the history of investment publishing.</p> - from Amzon","Economics, Stocks",""
"1178","Social and environmental impact of logging: Investigation of sustainability claims of the Asia Pulp and Paper/Sinar Mas Group","Leonie van der Maesen","","","","Friends of The Earth Australia","",2011,NA,"",NA,"","H2","",NA,"Publication","","",""
"1216","Summary of Land Tenure Research Findings in Jakarta","","","","","Mercy Corps","",2008,NA,"",NA,"","H2","",NA,"Publication","","",""
"1289","The Clash Of Civilizations: And The Remaking Of World Order","Samuel P. Huntington","","","","Simon & Schuster","",2002,NA,"074323149X",9780743231497,"","H2","",NA,"Book","","",""
"1302","The Economic Choices Facing the Next President","Gustaf F. Papanek; Raden Pardede; Suahasil Nazara","","","","Center for Public Policy Transformation","",2014,NA,"",9786027148000,"","H2","",NA,"Book","","",""
"1311","The Four Pillars of Investing: Lessons for Building a Winning Portfolio","William J. Bernstein","","","","McGraw-Hill","1",2002,NA,"0071385290",9780071385299,"","H2","Unknown",NA,"Book","<p><b>The classic guide to constructing a solid portfolio―without a financial advisor!</b></p> <p><i>“With relatively little effort, you can design and assemble an investment portfolio that, because of its wide diversification and minimal expenses, will prove superior to the most professionally managed accounts. Great intelligence and good luck are not required.”</i></p> <p>William Bernstein’s commonsense approach to portfolio construction has served investors well during the past turbulent decade―and it’s what made <i>The Four Pillars of Investing</i> an instant classic when it was first published nearly a decade ago.</p> <p>This down-to-earth book lays out in easy-to-understand prose the four essential topics that every investor must master: the relationship of risk and reward, the history of the market, the psychology of the investor and the market, and the folly of taking financial advice from investment salespeople.</p> <p>Bernstein pulls back the curtain to reveal what really goes on in today’s financial industry as he outlines a simple program for building wealth while controlling risk. Straightforward in its presentation and generous in its real-life examples, <i>The Four Pillars of Investing</i> presents a no-nonsense discussion of:</p> <ul> <li>The art and science of mixing different asset classes into an effective blend</li> <li>The dangers of actively picking stocks, as opposed to investing in the whole market</li> <li>Behavioral finance and how state of mind can adversely affect decision making</li> <li>Reasons the mutual fund and brokerage industries, rather than your partners, are often your most direct competitors</li> <li>Strategies for managing all of your assets―savings, 401(k)s, home equity―as one portfolio</li> </ul> <p>Investing is not a destination. It is a journey, and along the way are stockbrokers, journalists, and mutual fund companies whose interests are diametrically opposed to yours.</p> <p>More relevant today than ever, <i>The Four Pillars of Investing</i> shows you how to determine your own financial direction and assemble an investment program with the sole goal of building long-term wealth for you and your family.</p> - from Amzon","Development & Growth, Economic History, Money & Monetary Policy, Public Finance, Economics, Commodities, Introduction",""
"1315","The God Delusion","Richard Dawkins","","","","Mariner Books","Reprint",2008,NA,"0618918248",9780618918249,"","H2","Unknown",NA,"Book","<div>A preeminent scientist -- and the world's most prominent atheist -- asserts the irrationality of belief in God and the grievous harm religion has inflicted on society, from the Crusades to 9/11.<br /><br />With rigor and wit, Dawkins examines God in all his forms, from the sex-obsessed tyrant of the Old Testament to the more benign (but still illogical) Celestial Watchmaker favored by some Enlightenment thinkers. He eviscerates the major arguments for religion and demonstrates the supreme improbability of a supreme being. He shows how religion fuels war, foments bigotry, and abuses children, buttressing his points with historical and contemporary evidence. <em>The God Delusion</em> makes a compelling case that belief in God is not just wrong but potentially deadly. It also offers exhilarating insight into the advantages of atheism to the individual and society, not the least of which is a clearer, truer appreciation of the universe's wonders than any faith could ever muster.</div> - from Amzon","Philosophy, Atheism, History & Philosophy",""
"1329","The Intelligent Investor: The Classic Text on Value Investing","Benjamin Graham","","","","HarperBusiness","Third Edition",2005,NA,"0060752610",9780060752613,"","H2","Unknown",NA,"Book","<p>More than one million hardcovers sold<br />Now available for the first time in paperback!</p><p>The Classic Text Annotated to Update Graham's Timeless Wisdom for Today's Market Conditions</p><p>The greatest investment advisor of the twentieth century, Benjamin Graham taught and inspired people worldwide. Graham's philosophy of ""value investing"" -- which shields investors from substantial error and teaches them to develop long-term strategies -- has made <em>The Intelligent Investor</em> the stock market bible ever since its original publication in 1949.</p><p>Over the years, market developments have proven the wisdom of Graham's strategies. While preserving the integrity of Graham's original text, this revised edition includes updated commentary by noted financial journalist Jason Zweig, whose perspective incorporates the realities of today's market, draws parallels between Graham's examples and today's financial headlines, and gives readers a more thorough understanding of how to apply Graham's principles.</p><p>Vital and indispensable, this HarperBusiness Essentials edition of <em>The Intelligent Investor</em> is the most important book you will ever read on how to reach your financial goals.</p> - from Amzon","Economics, Finance, Introduction",""
