"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"333","EcoCities: Rebuilding Cities in Balance with Nature","Richard Register","","","","New Society Publishers","Revised ed.",2006,NA,"0865715521",9780865715523,"","E1","Unknown",NA,"Book","<DIV><p>Most of the world’s population now lives in cities. So if we are to address the problems of environmental deterioration and peak oil adequately, the city has to be a major focus of attention.</p><p><i>Ecocities</i> is about re-building cities and towns based on ecological principles for the long term sustainability, cultural vitality and health of the Earth’s biosphere. Unique in the literature is the book’s insight that the <i>form</i> of the city really matters – and that it is within our ability to change it, and crucial that we do. Further, that the ecocity within its bioregion is comprehensible and do-able, and can produce a healthy and potentially happy future.</p><p><i>Ecocities</i> describes the place of the city in evolution, nature and history. It pays special attention to the key question of accessibility and transportation, and outlines design principles for the ecocity. The reader is encouraged to plunge in to its economics and politics: the kinds of businesses, planning and leadership required. The book then outlines the tools by which a gradual transition to the ecocity could be accomplished. Throughout, this new edition is generously illustrated with the author’s own inspired visions of what such rebuilt cities might actually look like.</p><p><b>Richard Register</b> is one of the world's great theorists and authors in ecological city design and planning. The founder of Urban Ecology and Ecocity Builders, he convened the first International Ecocity Conference in 1990, lectures around the world, and has authored two previous books, as well as an earlier edition of <i>Ecocities</i>.</p></DIV> - from Amzon","Buildings, Urban & Land Use Planning, Sustainability & Green Design, Civil & Environmental, Environmental Science, Conservation, Environment, Urban Planning & Development, City Planning & Urban Development",""
"336","Ecology and Planning: An Introductory Study","Paul H. Selman","","","","George Godwin Limited","",1981,NA,"0711455554",9780711455559,"","E1","Unknown",NA,"Book","Book by Selman, Paul H. - from Amzon","Environmental Economics, Environmental, Natural Resources, Business & Finance",""
"368","Eye Witness Travel Guides Ireland","","","","","DORLING KINDERSLEY","",1997,NA,"0751300047",9780751300048,"","E1","Unknown",NA,"Book","","",""
"379","Finding Lost Space: Theories of Urban Design","Roger Trancik","","","","Van Nostrand Reinhold","",1986,NA,"0442283997",9780442283995,"","E1","Unknown",NA,"Book","The problem of ""lost space,"" or the inadequate use of space, afflicts most urban centers today. The automobile, the effects of the Modern Movement in architectural design, urban-renewal and zoning policies, the dominance of private over public interests, as well as changes in land use in the inner city have resulted in the loss of values and meanings that were traditionally associated with urban open space. This text offers a comprehensive and systematic examination of the crisis of the contemporary city and the means by which this crisis can be addressed. Finding Lost Space traces leading urban spatial design theories that have emerged over the past eighty years: the principles of Sitte and Howard; the impact of and reactions to the Functionalist movement; and designs developed by Team 10, Robert Venturi, the Krier brothers, and Fumihiko Maki, to name a few. In addition to discussions of historic precedents, contemporary approaches to urban spatial design are explored. Detailed case studies of Boston, Massachusetts; Washington, D.C.; Goteborg, Sweden; and the Byker area of Newcastle, England demonstrate the need for an integrated design approach--one that considers figure-ground, linkage, and place theories of urban spatial design. These theories and their individual strengths and weaknesses are defined and applied in the case studies, demonstrating how well they operate in different contexts. This text will prove invaluable for students and professionals in the fields of architecture, landscape architecture, and city planning. Finding Lost Space is going to be a primary text for the urban designers of the next generation. It is the first book in the field to absorb the lessons of the postmodern reaction, including the work of the Krier brothers and many others, and to integrate these into a coherent theory and set of design guidelines. Without polemics, Roger Trancik addresses the biggest issue in architecture and urbanism today: how can we regain in our shattered cities a public realm that is made of firmly shaped, coherently linked, humanly meaningful urban spaces? Robert Campbell, AIA Architect and architecture critic Boston Globe - from Amzon","Buildings, Architecture",""
"392","From Istanbul 1996 to Venice 2002. Socially sustainable revitalization of historical districts. Architects speak out","","","","","United Nations Education, Scientific and Cultural Organization","",2004,NA,"",NA,"","E1","",NA,"Book","","",""
"453","Handmade Urbanism: Mumbai, São Paulo, Istanbul, Mexico City, Cape Town: From Community Initiatives to Participatory Models","","","Marcos L. Rosa","","Jovis","Har/DVD",2013,NA,"3868592253",9783868592252,"","E1","Unknown",NA,"Book","With urban expansion in almost global overdrive, opportunities for citizens to improve their own urban environment are growing steadily. <I>Handmade Urbanism</I> examines the possibilities of urban transformation that stem from community initiatives. It showcases projects that focus on the provision of social infrastructure, aiming to improve the living conditions of residents in the more impoverished areas of five major cities across the world: Mumbai, São Paulo, Istanbul, Mexico City and Cape Town. The publication includes interviews with experts and community leaders that help to clarify approaches to local struggles, as well as the DVD documentary <I>Urban Future</I>, which provides the reader with further information from the ground. - from Amzon","",""
"460","Have You Been Shanghaied?. Culture and Urbanism in Glocalized Shanghai","William S.W. Lim","","","","Asian Urban Lab","",2004,NA,"9814022292",NA,"","E1","",NA,"Book","","",""
"483","Housing a Nation: 25 Years of Public Housing in Singapore","Aline K. Wong; Stephen H. K. Yeh","","","","Brook House Pub","",1985,NA,"9971954222",9789971954222,"","E1","Housing",NA,"Book","looking old - from Amzon","Social Sciences, Social Sciences",""
"484","Housing and Land Rights in India. Status Report for Habitat III","Housing and Land Rights Network","","","","Housing and Land Rights Network","",2016,NA,"",9788190256988,"","E1","",NA,"Publication","","",""
"501","Ibukota Majapahit, Masa Jaya dan Pencapaiannya","Agus Aris Munandar","","","","Komunitas Bambu","1",2008,NA,"",9789793731391,"","E1","History",NA,"Book","","",""
"544","Informal Politics: Street Vendors and the State in Mexico City","John C. Cross","","","","Stanford University Press","1",1998,NA,"0804730628",9780804730624,"","E1","Unknown",NA,"Book","As economic crises struck the Third World in the 1970s and 1980s, large segments of the population turned to the informal economy to survive. Though this phenomenon has previously been analyzed from a strictly economic point of view, this book looks at street vending in the largest city in the world, Mexico City, as a political process. Employing a street-level analysis based on intensive participant observation, with interviews, archival research, and surveys, the author presents a view of political processes that provides new theoretical insights into social movements, state institutions, and politics at the fringe of society, where legality blurs into illegality and the informal economy intersects with its political counterpoint―informal politics. By studying political processes at the street level and then tracing them up the political structure, the author also reveals the basic processes by which the Mexican state operates. Street vendors have been successful in defending their interests in Mexico City, the author argues, because they are able to take advantage of certain structural features of the Mexican state, notably the weak integration of interests between policy-makers and policy-implementers. The author shows that when well-organized, street vendors can collude with state policy-implementers even when state policy-makers are influenced by powerful interest groups, such as large national and multinational corporations. The book develops a systematic theory of the “political economy of economic informality” while raising new questions and theories about the state and social movements. Though the direct research is confined to the Mexican case study, the author suggests ways in which his conclusions can be applied to other developing areas in the Third World. - from Amzon","Economic Conditions, Education & Reference, Government & Business, Urban, Political Science, Political Economy, Business & Finance, Political Science, Sociology",""
"549","Inter-Asia Roundtable 2011. Recycling Cities","","","","","Asia Research Institute","",2011,NA,"",NA,"","E1","",NA,"Publication","","",""
"554","International Workshop on Sustainable City-region","","","","","","",2010,NA,"",NA,"","E1","",NA,"Publication","","",""
"648","Kamus Penataan Ruang","Maman Djumantri","","","","Direktorat Jenderal Tata Ruang Kementerian Agraria dan Tata Ruang/BPN","",2009,NA,"",9789791554091,"","E1","",NA,"Book","","",""
"674","Khasanah Tanaman Bunga dan Buah Taman Raja-raja. Bustanussalatin","","","","","Recovery Aceh Nias Trust Fund","",2008,NA,"",NA,"","E1","",NA,"Book","","",""
"690","Komunitas Cina dan Perkembangan Kota Surabaya. (Abad XVIII Sampai Pertengahan Abad XX)","Handinoto","","","","Penerbit Ombak","",2015,NA,"",9786022582991,"","E1","",NA,"Book","","",""
"702","Kota Pelabuhan Kolaka di Teluk Bone 1906-1942. Kajian Sejarah Sosial-Ekonomi","Basrin Melamba","","","","Pustaka Larasan","",2011,NA,"",9789793790558,"","E1","",NA,"Book","","",""
"724","Land Use and Living Space","Robin H. Best","","","","Routledge","1st ed.",1981,NA,"0416737706",9780416737707,"","E1","Unknown",NA,"Book","","Geography, Natural Resources, Water Supply & Land Use",""
"726","Lasem Kota Tiongkok Kecil. Interaksi Tionghoa, Arab, dan Jawa dalam Silang Budaya Pesisiran","Munawir Aziz","","","","Penerbit Ombak","",2014,NA,"",9786022581666,"","E1","",NA,"Book","","",""
"739","Living in cities: Five comparative and interdisciplinary case studies about living in innercities","","","","","Metropol Verlag","",1990,NA,"392689301X",9783926893017,"","E1","Unknown",NA,"Book","","",""
"749","Lungsod Iskwater: The Evolution of Informality As a Dominant Pattern in Philippine Cities","Paulo Alcazaren; Luis Ferrer; Benvenuto Icamina","","","","Anvil Publishing","",2017,NA,"9712725022",9789712725029,"","E1","Unknown",NA,"Book","We live in the developing world where urbanization means the shopping malls and highrise condominiums which cater to aspirational lifestyles proliferate our landscape. For the majority of city dwellers, however, urbanization means living in the favelas of Brazil, the kampungs in Indonesia, katchi abadis in Pakistan, and in dense squatter areas of Metro Manila. For millions, life is devoid of basic human services. Inventoried and zoned according to access (or lack thereof) to basic services, quality of life in the Iskwater settlement is defined in terms of degrees of deprivation household size potable water, power supply, length of paved roads and sewage infrastructure.
<P>
This book, Lungsod Iskwater, began as an analytical exercise. Its principal focus was the most sustainable urban form in history -- the informal settlement. Despite its enduring presence over time and across cultures, the urban and architectural elements of Iskwater settlement are among the least studied, let alone the least understood. Thus, this effort attempts to provide an in-depth analysis of the relationship between built form and open space within selected informal settlements in Metropolitan Manila, and correlates specific cultural, socio-economic, political, and environmental factors. We build on the premise that informal settlements are organic combinations of interrelated and interdependent factors which may be decoded only when understood within certain cultural and historical contexts. - from Amzon","",""
"755","Makassar dari JendelaPete-pete","Winarni KS","","","","Ininnawa","1",2009,NA,"",NA,"","E1","Urbanism",NA,"Book","","",""
"777","Masa Akhir Majapahit; Girindrawarddhana & Masalahnya","Hasan Djafar","","","","Komunitas Bambu","2",2012,NA,"",9786029402179,"","E1","History",NA,"Book","","",""
"790","Memakmurkan Masjid Bersama JK","Hery Sucipto","","","","Grafindo Books Media","",2014,NA,"",9789793858203,"","E1","",NA,"Book","","",""
"823","Merebut Ruang Kota: Aksi Rakyat Miskin Kota Surabaya 1900-1960an","Purnawan Basundoro","","","","Marjin Kiri","",2013,NA,"",9789791260220,"","E1","",NA,"Book","","",""
"828","Metropolis2005. Safeguarding Mobility - Transforming Transportation","Dipl. Ing. Hans-Joachim Becker; Dipl. Ing. Diana Runge","","","","Metropolis","",NA,NA,"8476094474",NA,"","E1","",NA,"Book","","",""
"852","Multiple City: Writings on Bangalore","Aditi De","","","","Penguin Books","",2008,NA,"0143100254",9780143100256,"","E1","Unknown",NA,"Book","Founded by the chieftain Kempe Gowda around 1537, the story of Bangalore has no grand linear narrative. The location has revealed different facets to settlers and passers-through. The city, the site of bloody battles between the British and Tipu Sultan, was once attached to the glittering court of Mysore. Later, it became a cantonment town where British troops were stationed. Over time, it morphed into a city of gardens and lakes, and the capital of Indian scientific research. More recently, it has been the hub of India s information technology boom, giving rise to Brand Bangalore, an Indian city whose name is recognized globally. Hidden beneath these layers lies a cosmopolitan city of sub-cultures, engaging artists and writers, young geeks and students. People from every corner of India and beyond now call it home.  In this collection of writings about a multi-layered city, there are stories from its history, translations from Kannada literature, personal responses to the city s mindscape, portraits of special citizens, accounts of searches for lost communities and traditions, among much more. U.R. Ananthamurthy writes about Bangalore s Kannada identity; Shashi Deshpande maps the city through the places she has lived in since she was a young girl; Anita Nair draws a touching portrait of a florist who celebrates the glories of the Raj; Ramachandra Guha describes his close bond with Bangalore s most unusual bookseller; and Rajmohan Gandhi recounts the Mahatma s trysts with the city. From traditional folk ballads to a nursery rhyme about Bangalore, from poems to blogs, from reproductions of turn of the twentieth century picture postcards to cartoons, Multiple City is the portrait of a metropolis trying to retain its roots as it hurtles into the future. - from Amzon","World, Religion & Spirituality, Philosophy",""
"907","Pacific Affairs","","","","","University of British Columbia","Vol. 81 No.4",2008,NA,"",NA,"0030851X","E1","",NA,"Journal","","",""
"927","Pedoman Penanganan Pelestarian Bangunan Pusaka Pascabencana. Studi Kasus: Padang, Sumatera Barat","","Punto Wijayanto","","","Badan Pelestari Pusaka Indonesia","1",2011,NA,"",9786028756198,"","E1","",NA,"Book","","",""
"935","Pembangunan Sosial di Wilayah Perbatasan Kapuas Hulu, Kalimantan Barat","Henny Warsilah; Dede Wardiat","","","","Yayasan Pustaka Obor Indonesia","",2017,NA,"",9786024335144,"","E1","",NA,"Book","","",""
"955","Pengantar Sejarah Kota","Purnawan Basundoro","","","","Penerbit Ombak","",2012,NA,"",9786027544512,"","E1","",NA,"Book","","",""
"1004","Planet of Slums","Mike Davis","","","","Verso","",2006,NA,"1844670228",9781844670222,"","E1","Unknown",NA,"Book","According to the United Nations, more than one billion people now live in the slums of the cities of the South. In this brilliant and ambitious book, Mike Davis explores the future of a radically unequal and explosively unstable urban world. <br><br>From the sprawling <i>barricadas</i> of Lima to the garbage hills of Manila, urbanization has been disconnected from industrialization, even economic growth. Davis portrays a vast humanity warehoused in shantytowns and exiled from the formal world economy. He argues that the rise of this informal urban proletariat is a wholly original development unforeseen by either classical Marxism or neoliberal theory.<br><br>Are the great slums, as a terrified Victorian middle class once imagined, volcanoes waiting to erupt? Davis provides the first global overview of the diverse religious, ethnic, and political movements competing for the souls of the new urban poor. He surveys Hindu fundamentalism in Bombay, the Islamist resistance in Casablanca and Cairo, street gangs in Cape Town and San Salvador, Pentecostalism in Kinshasa and Rio de Janeiro, and revolutionary populism in Caracas and La Paz.<i>Planet of Slums</i> ends with a provocative meditation on the “war on terrorism” as an incipient world war between the American empire and the new slum poor. - from Amzon","Commercial Policy, Urban Planning & Development, Sociology, Commentary & Opinion, City Planning & Urban Development",""
"1036","Profil Kampung Jakarta","","","","","Jaringan Rakyat Miskin Kota","",2017,NA,"",NA,"","E1","",NA,"Book","","",""
"1049","Protes Publik Transportasi Indonesia","Agus Pambagio","","","","PT Gramedia Pustaka Utama","",2013,NA,"",9786020301488,"","E1","",NA,"Book","","","Seri Pendidikan Kebijakan Publik"
"1087","Resilience in Action. Early Insights into How Cities are Institutionalizing Resilience","","","","","The Rockefeller Foundation","",2016,NA,"",NA,"","E1","",NA,"Publication","","",""
"1148","Selamatkan Teluk Jakarta","Koalisi Pakar Interdisiplin","","","","Koalisi Selamatkan Teluk Jakarta","1",2017,NA,"",NA,"","E1","Social Activism",NA,"Book","","",""
"1200","Strategic Review","","","","","","Vol. 1 No. 2",2011,NA,"",NA,"","E1","",NA,"Journal","","",""
"1249","Technopoles of the World: The Making of 21st Century Industrial Complexes","Manuel Castells","","","","Routledge","1",1994,NA,"0415100151",9780415100151,"","E1","Unknown",NA,"Book","Technopoles - planned centres for the promotion for high- technology industry - have become a key feature of national economic development worldwide. Created out of a technological revolution, the formation of the global economy and the emergence of a new form of economic production and management, they constitute the mines and foundries of the information age, redefining the conditions and processes of local and regional development. This book is the first systematic survey of technopoles in all manifestations: science parks, science cities, national technopoles and technobelt programmes. Detailed case studies, ranging from the Silicon Valley to Siberia and from the M4 Corridor to Taiwan, relate how global technopoles have developed, what each is striving to achieve and how well it is succeeding. <EM>Technopoles of the World</EM> distills the lessons learnt from the successes and failures, embracing a host of disparate concepts and a few myths, and offering guidelines for national, regional and local planners and developers worldwide. - from Amzon","Environmental Economics, Engineering, Regional, Technology, Politics & Government, Earth Sciences, Political Science",""
"1259","The American city. Translation of La città americana dalla guerra civile al New Deal","Giorgio Ciucci","","","","MIT Press","",1979,NA,"0262030691",9780262030694,"","E1","Unknown",NA,"Book","","",""
"1272","The Birth of Modern City Planning: City Planning According to Artistic Principles","Camillo Sitte","","","","Rizzoli","First American PB Edition",1986,NA,"0847805565",9780847805563,"","E1","Unknown",NA,"Book","Originally published in 1889 in Austria as Der StadteBau, Camillo Sitte's classic work revolutionized city planning. - from Amzon","Individual Architects & Firms, Buildings, City Planning & Urban Development",""
"1280","The City Assembled: The Elements of Urban Form Through History","Spiro Kostof; Greg Castillo; Illustrator-Richard Tobias","","","","Thames & Hudson ","Ist A",1992,NA,"0500341249",9780500341247,"","E1","Unknown",NA,"Book","Kostof follows The City Shaped with a brilliant study of the component parts that make up urban life. All cities consist of certain basic elements--streets, parks, public places, and boundaries--and it is to these day-to-day pieces of urban experience that this book turns, providing a fascinating understanding of walls, fortifications, placement of green space, and the fringe areas where city and country meet. Illustrations. - from Amzon","Architecture, Architecture, Urban Planning & Development",""
"1284","The City Reader (Routledge Urban Reader Series)","","","","","Routledge","2",1999,NA,"0415190711",9780415190718,"","E1","Unknown",NA,"Book","The second edition of <EM>The City Reader</EM> brings together the very best writing on the city. Fifty-five generous selections are included: thirty from the first edition and twenty-five entirely new ones. Each piece is introduced with a brief intellectual biography and a review of the authors writings and related literature, and an explanation of how the piece fits into the broader context of urban history and practice, competing ideological perspectives on the city, and the major current debates concerning race and gender, global restructuring, sustainable urban development, the impact of technology and postmodernism. - from Amzon","Urban & Land Use Planning, Civil & Environmental, Geography, Human Geography, Urban, Regional Planning, Civil Engineering, Architecture, Earth Sciences, Geography, Public Policy, Sociology",""
"1285","The City Shaped: Urban Patterns and Meanings Through History","Spiro Kostof","","","","Thames & Hudson ","",1991,NA,"0500341184",9780500341186,"","E1","Unknown",NA,"Book","Spanning the ages and the globe, Spiro Kostof explores the city as a ""repository of cultural meaning"" and an embodiment of the community it shelters. Widely used by both architects and students of architecture, The City Shaped won the AIA's prestigious book award in Architecture and Urbanism. With hundreds of photographs and drawings that illustrate Professor Kostof's innovative ideas, this has become one of the most important works on urbanization. - from Amzon","",""
"1286","The City Square: A Historical Evolution","Michael Webb","","","","Whitney Library of Design","1st Edition",1990,NA,"0500341133",9780500341131,"","E1","Urbanism",NA,"Book","","",""
"1293","The Conservation of Cities","UNESCO","","","","The Unesco Press","",1975,NA,"0856642406",NA,"","E1","",NA,"Book","","",""
"1334","The Journey to the East","Le Corbusier","","","","Mit Pr","1st",1987,NA,"0262120917",9780262120913,"","E1","Unknown",NA,"Book","Shares the influential architect's account of a 1911 trip through central and eastern Europe and includes sketches he made along the way - from Amzon","Architecture, History, Travelers & Explorers, Architecture, Istanbul",""
"1367","The Reflection of Indigenous Peoples' Changing Identity in the Social Cultural and Historical Contexts in the Cities of Sarawak. Case Study: Kuching and Miri, including Lundu and Serian as satellite towns","Albertus Yustinus Imas; Mira S. Lubis","","","","Natural Resource Management Collaboration (NARMAC) Institute","",2012,NA,"",NA,"","E1","",NA,"Publication","","",""
"1401","The wealth of cities. Towards an assets-based development of newly urbanizing regions","John Friedmann","","","","UN-Habitat","",2007,NA,"",9789211318920,"","E1","",NA,"Publication","","",""
"1443","Tugu-Bustaman. Dari Kampung Membangun Budaya Berkota","Tim UGD Semarang","","","","Unidentified Group Discussion (UGD) Semarang","",NA,NA,"",NA,"","E1","",NA,"Book","","",""
"1469","Urban housing policies and approaches in a changing Asian context","Arif Hasan","","","","City Press","1st",1997,NA,"969838006X",9789698380069,"","E1","Unknown",NA,"Book","","",""
"1470","Urban Metabolism: sustainable development of Rotterdam","","","","","","",2014,NA,"",9789082243611,"","E1","",NA,"Book","","",""
"1476","Urbanisme di Asia Tenggara","Hans-Dieter Evers; Rüdiger Korff","","","","Yayasan Obor Indonesia","",2002,NA,"9794614017",NA,"","E1","",NA,"Book","","",""
"1490","Vom Hasenmoor zum Transportsiel. 160 Jahre Hamburger Stadtentwässerung","Gerd Eich; Norbert Wierecky","","","","Eigenverlag","",2002,NA,"",NA,"","E1","",NA,"Book","","",""
