"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"727","Last Oasis: Facing Water Scarcity","Sandra Postel","","","","W. W. Norton & Company","2nd ed.",1997,NA,"0393317447",9780393317442,"","G1","Unknown",NA,"Book","<p><strong>As we approach the twenty-first century, we are entering a new era-an era of water scarcity.</strong></p> We have taken for granted seemingly endless supplies of water flowing from reservoirs wells, and diversion projects; access to water has been key to food security, industrialization, and the growth of cities. In this book from the Worldwatch Institute, Sandra Postel explains that decades of profligacy and mismanagement of the world's water resources have produced signs of shortages and environmental destruction. She writes with authority and clarity of the limits-ecological, economic, and political-of this vital natural resource. She explores the potential for conflict over water between nations, and between urban and rural residents. And she offers a sensible way out of such struggles. <em>Last Oasis</em> makes clear that the technologies and know-how exist to increase the productivity of every liter of water. But citizens must first understand the issues and insist on policies, laws, and institutions that promote the sustainable use of water. - from Amzon","Environmental Economics, Real Estate, Water Quality & Treatment, Environmental Science, Water Supply & Land Use, Conservation","The Worldwatch Environmental Alert"
"738","Lingkungan Sosial - Kebijakan untuk Partisipasi, Kerekatan, dan Kualitas Hidup","René Bormann; Prof. Dr. Vanessa Miriam Carlow","","","","Friedrich Ebert Stiftung","",2016,NA,"",9786028866200,"","G1","",NA,"Publication","","",""
"763","Managing Water: Avoiding Crisis in California","Dorothy Green","","","","University of California Press","1",2007,NA,"0520253272",9780520253278,"","G1","Unknown",NA,"Book","<div>Water in California is controlled, stored, delivered, and managed within a complex network of interlocking and cooperating districts and agencies. Unraveling and understanding this system is not easy. This book describes how the current system works (or doesn't work) and discusses the issues that face elected officials, water and resource managers, and the general public. Using the Los Angeles area as a microcosm of the state, environmental activist Dorothy Green gathers detailed information on its water systems and applies the lessons learned from this data statewide. A useful primer on watershed and water policy issues, this book provides reasoned, thoughtful, and insightful arguments about sustainability.</div> - from Amzon","Economics, State & Local, Waste Management, Water Quality & Treatment, Ecology, Environmental Science, Water Supply & Land Use, Conservation, Environmentalism, United States, Environmental Studies",""
"836","Mochtar Kusuma-Atmadja dan Teori Hukum Pembangunan: Eksistensi dan Implikasi","","","Sidharta","","Epistema Institute-HuMa","",2012,NA,"",9786021946114,"","G1","",NA,"Book","","","Seri Tokoh Hukum Indonesia"
"872","Nationaal Waterplan 2009-2015","","","","","","",2009,NA,"",NA,"","G1","",NA,"Book","","",""
"880","New Geographies, 7: Geographies of Information","","","","","Harvard Graduate School of Design","",2015,NA,"1934510386",9781934510384,"","G1","Unknown",NA,"Book","<p>Digital information and data flows permeate every aspect of our society. Within this context, design extensively avails itself of the technological bounty of advanced digital tools. Yet beyond these tools, the fluidity of digital information and the seemingly immaterial nature of communication dominate most discussions. </p><p>Understanding the contemporary networks of information and communication as inherently geographic, <i>Geographies of Information</i> attempts to realign design’s relationship to information and communication technologies (ICTs) by expounding on their multiscalar complexities and contextual intricacies. From the impact of digital social media on political action and the rise of predictive technologies in speculative real estate to new ways of mapping temporal conditions of a site and the evolving role of information in how designers see, understand, and act on space, ICTs exert critical influence. This issue of <i>New Geographies</i> examines the forms, imprints, places, and territories of ICTs through spatially grounded and nuanced accounts of the hybrid conditions that ICTs generate, the scales at which they operate, and how this production of space is manifested in both advanced and emerging economies.</p> - from Amzon","Urban & Land Use Planning, Decorative Arts & Design, Communication, Communication & Media Studies",""
"906","Outline of a Theory of Practice (Cambridge Studies in Social and Cultural Anthropology)","Pierre Bourdieu","","","","Cambridge University Press","1st English Ed",1977,NA,"052129164X",9780521291644,"","G1","Unknown",NA,"Book","Outline of a Theory of Practice is recognized as a major theoretical text on the foundations of anthropology and sociology. Pierre Bourdieu, a distinguished French anthropologist, develops a theory of practice which is simultaneously a critique of the methods and postures of social science and a general account of how human action should be understood. With his central concept of the habitus, the principle which negotiates between objective structures and practices, Bourdieu is able to transcend the dichotomies which have shaped theoretical thinking about the social world. The author draws on his fieldwork in Kabylia (Algeria) to illustrate his theoretical propositions. With detailed study of matrimonial strategies and the role of rite and myth, he analyses the dialectical process of the 'incorporation of structures' and the objectification of habitus, whereby social formations tend to reproduce themselves. A rigorous consistent materialist approach lays the foundations for a theory of symbolic capital and, through analysis of the different modes of domination, a theory of symbolic power. - from Amzon","Social Sciences, Cultural, General, Sociology, Anthropology, Sociology",""
"917","Panggilan Tanah Air. Tinjauan Kritis atas Porak Porandanya Indonesia","Noer Fauzi Rachman","","","","Literasi Press","",2015,NA,"",9786027291812,"","G1","",NA,"Book","","",""
"943","Pemikiran Karl Max. Dari Sosialisme Utopis ke Perselisihan Revisionisme ","Franz Magnis-Suseno","","","","PT Gramedia Pustaka Utama","1",1999,NA,"9796553317",NA,"","G1","",NA,"Book","","",""
"1003","Plan B 3.0: Mobilizing to Save Civilization","Lester R. Brown","","","","W. W. Norton & Company","Revised and Expanded",2008,NA,"0393330877",9780393330878,"","G1","Unknown",NA,"Book","<p><strong>""How to build a more just world and save the planet....We should all heed Brown's advice.""―Bill Clinton<br /></strong></p> In this updated edition of the landmark Plan B, Lester Brown outlines a survival strategy for our early twenty-first-century civilization. The world faces many environmental trends of disruption and decline, including rising temperatures and spreading water shortage. In addition to these looming threats, we face the peaking of oil, annual population growth of 70 million, a widening global economic divide, and a growing list of failing states. The scale and complexity of issues facing our fast-forward world have no precedent<br /><br /> With Plan A, business as usual, we have neglected these issues overly long. In <em>Plan B 3.0</em>, Lester R. Brown warns that the only effective response now is a World War II-type mobilization like that in the United States after the attack on Pearl Harbor.<br /> - from Amzon","Environmental Economics, Pollution, Conservation, Environmentalism, Social Services & Welfare",""
"1018","Poverty of Historicism","Sir Karl Popper","","","","Routledge & Kegan Paul PLC","2nd Revised edition",1960,NA,"0710019653",9780710019653,"","G1","Unknown",NA,"Book","","Epistemology, New, Used & Rental Textbooks",""
"1066","Reading Habermas","David M. Rasmussen","","","","Wiley-Blackwell","1",1991,NA,"0631152741",9780631152743,"","G1","Unknown",NA,"Book","In the past decade the work of Jurgen Habermas has sparked off a series of lively debates over modernity and post-modernity, the nature of language, the interplay of law and politics and the dilemmas of morality. Significantly, these debates unfold in the context of his particular reading of the modern philosophical tradition from the German enlightment to the present period.<br /> In this original interpretation, David Rasmussen provides both guide and critique to the later Habermas encountered in the context of the best of the critical literature that has emerged in recent years. <i>Reading Habermas</i> argues that Habermas' concept of modernity provides the context for the theory of language as well as his approaches to law and ethics.<br /> This book, as its title implies, offers a reading. It explores philosophical options chosen in the light of other, rejected readings. It is a distinctive, readable contribution to the current controversy surrounding the most recent developments in critical theory. - from Amzon","Modern, Social Sciences, History & Surveys",""
"1068","Realita dan Visi ke Depan Perumahan dan Permukiman di Indonesia","","","Ir. Ismet Belgawan Harun, M.Sc., Ph.D","","Sekolah Arsitektur, Perencanaan dan Pengembangan Kebijakan (SAPPK) Institut Teknologi Bandung","",2010,NA,"",9789792504248,"","G1","",NA,"Book","","",""
"1071","Reflections: Essays, Aphorisms, Autobiographical Writings","Walter Benjamin","","","","Schocken","First Edition",1986,NA,"080520802X",9780805208023,"","G1","Unknown",NA,"Book","A companion volume to <i>Illuminations</i>, the first collection of Walter Benjamin's writings, <i>Reflections </i>presents a further sampling of his wide-ranging work. Here Benjamin evolves a theory of language as the medium of all creation, discusses theater and surrealism, reminisces about Berlin in the 1920s, recalls conversations with Bertolt Brecht, and provides travelogues of various cities, including Moscow under Stalin. He moves seamlessly from literary criticism to autobiography to philosophical-theological speculations, cementing his reputation as one of the greatest and most versatile writers of the twentieth century. Also included is a new preface by Leon Wieseltier that explores Benjamin's continued relevance for our times. - from Amzon","Memoirs, Essays, Criticism & Theory, German, Religion & Spirituality",""
"1158","Set Your Sail to the Wind. Sail Selat Karimata 2016. The Genuine Experience","Deny Sofian; Veny Hartinie","","","","Kayong Utara Culture and Tourism Board","",2016,NA,"",NA,"","G1","",NA,"Book","","",""
"1189","Spiritual Intelligence: The Ultimate Intelligence","Danah Zohar; I. Mitchell","","","","Bloomsbury Publishing PLC","",1999,NA,"0747546762",9780747546764,"","G1","Unknown",NA,"Book","At the beginning of the twentieth century, as psychologists discovered ways and means to measure intelligence, Aristotle's definition of man as ""a rational animal"" developed into an obsession with IQ. In the mid-1990s, Daniel Goleman popularized research into emotional intelligence, EQ, pointing out that EQ is a basic requirement for the appropriate use of IQ. There is enough collective evidence from psychology, neurology, anthropology and cognitiv science to hsow us that there is a third ""Q"", ""SQ"" or Spiritual Intelligence. Unlike IQ, which computers have and EQ which exists in higher mammals, SQ is uniquely human and, the author argues, the most fundamental of the three. It is linked to humanity's need for meaning, an issue very much at the forefront of people's minds as the century draws to a close. SQ is what we use to develop our longing and capacity for meaning, vision and value. It allows us to dream and to strive. - from Amzon","Personal Transformation, Religion & Spirituality, Humanism",""
"1205","Studi Hukum Kritis: Dari Modern, Posmodern hingga Posmarxis","Awaludin Marwan","","","","Satjipto Rahardjo Institute","",2012,NA,"",NA,"","G1","",NA,"Book","","",""
"1207","Studi Hukum Kritis: dari Modern, Posmodern hingga Posmarxis","Awaludin Marwan","","","","Satjipto Rahardjo Institute","1",2012,NA,"9793931949",NA,"","G1","Law",NA,"Book","","",""
"1213","Sukarno: A Political Biography","John David Legge","","","","Penguin Books Ltd","",1973,NA,"0140214097",9780140214093,"","G1","Unknown",NA,"Book","Sukarno was one of the great charismatic leaders of the post-war world. To some he was the architect of his nation, to others a flamboyant and extravagant dictator. - from Amzon","",""
"1238","Taman Medan Merdeka di Jakarta-Indonesia","","","","","Dinas Tata Kota Pemerintah Daerah Khusus Ibukota Jakarta","",NA,NA,"",NA,"","G1","",NA,"Publication","","",""
"1274","The Blue Economy: 10 Years, 100 Innovations, 100 Million Jobs","Gunter A. Pauli","","","","Paradigm Publications","",2010,NA,"0912111909",9780912111902,"","G1","Unknown",NA,"Book","Dr. Gunter Pauli is challenging the green movement he has been so much a part of to do better, to do more. He is the entrepreneur who launched Ecover; those products are probably in many of your homes. He built the largest ecologically-sound factory in the world. His participation in the Club of Rome and the founding of Zero Emissions Research Institute (ZERI) has made an immense contribution to sustainability both in terms of research, public awareness and articulating a visionary direction. He has dedicated himself to teaching and the hands-on implementation of projects that have brought healthy environments, good nutrition, health care and jobs in sustainable commerce to a myriad of places in the world. - from Amzon","Environmental Economics, Sustainable Development, Economics, Natural Resources, Economics, Business Development, International Business",""
"1356","The New Social Democracy (Political Quarterly Monograph Series)","","","Andrew Gamble","","Wiley-Blackwell","1",1999,NA,"0631217657",9780631217657,"","G1","Unknown",NA,"Book","Since the election of Tony Blair to the leadership of the Labour party in 1997 and the party's subsequent electoral triumph in 1997 after eighteen years in opposition there has been intense speculation about what the Labour party now stands for. Does the party still have a clear set of values and beliefs which guide it in government? Can it still be described as a social democratic party? Recently Tony Blair has called his political approach a Third Way between new Right and old Labour. The essays in this book by leading authorities on social democracy and the politics of new Labour ask whether new Labour is a complete break with the Labour past and with European social democracy, or whether it should be seen as a powerful restatement of social democratic ideas in a new context. - from Amzon","Non-US Legal Systems, Democracy, Communism & Socialism, Comparative Politics, Political Parties, Government, Political Ideologies",""
"1359","The Philosophical Discourse of Modernity","J. Habermas","","","","Policy Press","New Ed",2017,NA,"0745608302",9780745608303,"","G1","Unknown",NA,"Book","NA - from Amzon","",""
"1361","The Philosophy of Sustainable Design","Jason F. McLennan","","","","Ecotone Publishing Company LLC","F First Edition",2004,NA,"0974903302",9780974903309,"","G1","Unknown",NA,"Book","In the Philosophy of Sustainable Design, McLennan outlines the major ideas and issues that have emerged in the growing movement of green architecture and sustainable design over the last thirty years. This book is intended as a starting point for anyone involved in the building industry on a journey to learn how they can build more responsibly. The book is rooted in practical knowledge but rather than being a ‘how to book’ asks individuals to understand how the philosophy of sustainable design can affect their own work. Part Sustainable Design 101 and part manifesto this book lays the groundwork and philosophical basis for more technical study. McLennan relies on his extensive experience with sustainable design having consulted to dozens of projects and design teams all over the country. Tapping into the work of many pioneers and ‘green design philosophers’ McLennan clearly presents a framework for people to understand Sustainable Design and how ultimately it will become the future of architecture and design. - from Amzon","Sustainability & Green Design, Economics, Environmentalism",""
"1369","The Rise of The Creative Class","","","","","Basic Books","",2002,NA,"0465024777",9780465024773,"","G1","Urbanism",NA,"Book","","",""
"1380","The Structural Transformation of the Public Sphere: An Inquiry into a Category of Bourgeois Society (Studies in Contemporary German Social Thought)","Jürgen Habermas","","","","The MIT Press","Sixth Printing",1991,NA,"0262581086",9780262581080,"","G1","Unknown",NA,"Book","<p>This is Jürgen Habermas's most concrete historical-sociological book and one of the key contributions to political thought in the postwar period. It will be a revelation to those who have known Habermas only through his theoretical writing to find his later interests in problems of legitimation and communication foreshadowed in this lucid study of the origins, nature, and evolution of public opinion in democratic societies.</p> - from Amzon","Philosophy, Sociology, Philosophy, Sociology",""
"1389","The Theory of Communicative Action, Volume 1: Reason and the Rationalization of Society","Jürgen Habermas","","","","Beacon Press","Reprint",1985,NA,"0807015075",9780807015070,"","G1","Unknown",NA,"Book","A major contribution to contemporary social theory. Not only does it provide a compelling critique of some of the main perspectives in 20th century philosophy and social science, but it also presents a systematic synthesis of the many themse which have preoccupied Habermas for thirty years. --<i>Times Literary Supplement</i> - from Amzon","Modern, Social Philosophy, Social Theory",""
"1390","The Theory of Communicative Action, Volume 2: Lifeworld and System: A Critique of Functionalist Reason","Jürgen Habermas","","","","Beacon Press","",1985,NA,"080701401X",9780807014011,"","G1","Unknown",NA,"Book","Juergen Habermas opens Volume 2 with a brilliant reinterpretation of Mead and Durkheim and then develops his own approach to society, combining two hitherto competing paradigms, ""system"" and ""lifeworld."" The strength of this combination is then demonstrated in a detailed critique of Parsons's theory of social systems. Concluding with a critical reconstruction of the Weberan and Marxian treatment of modernity and its discontents, Habermas sets a new agenda for the critical theory of contemporary society. The combination of historical and theoretical sweep, analytical acumen and synthetic power, imagination and engagement mark this as one of the great works of twentieth-century social theory. - from Amzon","Modern, Social Philosophy, Social Sciences, Social Theory, History & Surveys, Sociology",""
"1391","The Third Way and its Critics","Anthony Giddens","","","","Polity","1",2000,NA,"0745624502",9780745624501,"","G1","Unknown",NA,"Book","The idea of finding a 'third way' in politics has become a focus of discussion across the world. Political leaders, in the US, Europe, Asia and Latin America claim to be following its principles. Yet the notion has also attracted much criticism. Some say it is an empty concept without any real content. Critics from the more traditional left argue that it is a betrayal of left-wing ideals. <br /> <br /> <br /> Anthony Giddens's The Third Way (Polity Press, 1998) is regarded by many as the key text of third way politics. Translated into twenty-five languages, it has shaped the development of the third way. In this new book Giddens responds to the critics, and further develops the ideas set out in his earlier volume. Far from being unable to deal with inequalities of wealth and power, he shows, third way politics offers the only feasible approach to these issues. The work is indispensable for anyone who wants to understand the most important political debate going on today. <br /> <br /> <br /> Anthony Giddens is the Director of the London School of Economics and Political Science. He is the author or editor of over thirty books. His previous works, especially Beyond Left and Right (Polity Press, 1994) have influenced debates about the future of social democracy in many countries across the world. Frequently referred to in the UK as Tony Blair's guru, Giddens has made a strong impact on the evolution of New Labour. - from Amzon","Democracy, Communism & Socialism, International & World Politics, History & Theory",""
"1396","The Urban Planet. How Cities Save Our Future","German Advisory Council on Global Change (WBGU) ","","","","German Advisory Council on Global Change (WBGU)","",2016,NA,"",9783936191783,"","G1","",NA,"Book","","",""
"1420","TOD STANDARD","","","","","Institute of Transportation & Development Policy ","",NA,NA,"",NA,"","G1","Education",NA,"Book","","",""
