"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"1025","PREVIEWS & PREMISES","Alvin Toffler","","","","Bantam","First Edition",1985,NA,"055324874X",9780553248746,"","B1","Unknown",NA,"Book","Presents provocative commentary on economics, the fate of capitalism and socialism, and other issues and discusses the history of futurism, the causes of social change, and survivalism - from Amzon","Cultural, Politics & Government",""
"1041","Profil Pusat Promosi dan Pemasaran Bunga dan Tanaman Hias","","","","","","",2009,NA,"",NA,"","B1","Nature",NA,"Publication","","Nature, Jakarta",""
"1069","Realizing the Promise of Performance Management","Robert W. Rogers","","","","DDI Press c/o Development Dimensions International","",2004,NA,"0976151413",9780976151418,"","B1","Unknown",NA,"Book","For many companies, performance management is a boring, time-consuming ritual that yields little tangible benefit, without a hint of impact on the bottom line. Realizing the Promise of Performance Management paints the picture of an invaluable system that can underpin and permeate all organizational efforts—driving straight through to an improved bottom line. This book describes a system that can enable an organization to seamlessly execute its business and cultural strategies in full alignment with its other important HR systems, such as selection, promotion, succession planning, and compensation.   Realizing the Promise of Performance Management presents more than a dozen case studies—depicting how some of the best-known global companies have leveraged their performance management systems to retain top talent, invigorate their workforces, reduce turnover, align capabilities, and grow their business. Drawing on lessons learned from more than 30 years’ experience with hundreds of companies, Robert W. Rogers presents a strong case for the whys of performance management—why spend time doing it right, why insist that senior executives model the process, why track how well the system works, and most of all, why demand that managers become skilled users of the system. Ultimately, as you’ll see by reading this book, because it will get results. - from Amzon","",""
"1080","Rencana Strategis Fundraising. Sepuluh Langkah Praktis dalam Menyusun Dokumen Rencana Strategis Penggalangan Dana bagi Organisasi Nirlaba","Darwina Widjajanti","","","","PIRAMEDIA","",2006,NA,"9793597445",NA,"","B1","",NA,"Book","","",""
"1140","Sejarah Filsafat Yunani","Dr. K. Bertens","","","","Penerbitan Yayasan Kanisius","",1975,NA,"",NA,"","B1","",NA,"Book","","",""
"1141","Sejarah Kecil ""Petit Histoire"" Indonesia","","","","","Penerbit Buku Kompas","",2004,NA,"9797091414",NA,"","B1","",NA,"Book","","",""
"1142","Sejarah Kecil ""Petit Histoire"" Indonesia","Rosihan Anwar","","","","Penerbit Buku Kompas","",2004,NA,"",9789797091415,"","B1","",NA,"Book","","",""
"1160","Seven Habits of Highly Effective People: Restoring the Character Ethic","Stephen R. Covey","","","","Simon & Schuster","1st",1989,NA,"0671663984",9780671663988,"","B1","Unknown",NA,"Book","A leading management consultant outlines seven organizational rules for improving effectiveness and increasing productivity at work and at home - from Amzon","Success, Motivation & Self-Improvement, Workplace Culture, Leadership, Management, Motivational, Processes & Infrastructure",""
"1167","Sistem Analisis Kalimat untuk TOEFL dalam Tata Bahasa Inggris","Anies M. Basalamah","","","","PT Rineka Cipta","",1994,NA,"9795185861",NA,"","B1","",NA,"Book","","",""
"1171","Sitor Situmorang. Kumpulan Sajak 1948-1979","Sitor Situmorang","","J.J. Rizal","","Komunitas Bambu","",2006,NA,"",NA,"","B1","",NA,"Book","","",""
"1172","Sitor Situmorang. Kumpulan Sajak 1980-1005","Sitor Situmorang","","J.J. Rizal","","Komunitas Bambu","",2006,NA,"9793731109",NA,"","B1","",NA,"Book","","",""
"1181","Society of the Query Reader: Reflections on Web Search","Miriam Rasch; Rene Kanig","","","","Instituut voor Netwerkcultuur","",2014,NA,"9081857584",9789081857581,"","B1","Unknown",NA,"Book","Looking up something online is one of the most common applications of the web. Whether with a laptop or smartphone, we search the web from wherever we are, at any given moment. 'Googling' has become so entwined in our daily routines that we rarely question it. However, search engines such as Google or Bing determine what part of the web we get to see, shaping our knowledge and perceptions of the world. But there is a world beyond Google - geographically, culturally, and technologically.   The Society of the Query network was founded in 2009 to delve into the larger societal and cultural consequences that are triggered by search technology. In this Reader, which is published after two conferences held in Amsterdam in 2009 and 2013, twenty authors - new media scholars, historians, computer scientists, and artists - try to answer a number of pressing questions about online search. - from Amzon","",""
"1268","The Asia Pacific Region Speaks. Perspectives on Climate Change","","","","","Pelangi","",2000,NA,"7979621100",NA,"","B1","",NA,"Book","","",""
"1273","The Bitter Fruit of Oil Palm: Dispossession and Deforestation","","","","","World Rainforest Movement","",2001,NA,"9974760844",NA,"","B1","",NA,"Book","","",""
"1291","The Community of Asia: Concept or Reality?","","","Urvashi Butalia; Jong Won Lee; Masaaki Ohashi; Karina A. Bolasco","","Anvil Publishing, Inc.","",2007,NA,"9712717828",9789712717826,"","B1","Unknown",NA,"Book","The essays in this book address the multi-layered and trans-disciplinary agenda faced by us today while re-examining the identity of Asia as a hybrid entity with diverse and pluralistic values from both a conceptual and practical standpoint. The hope is that the growing solidarity of Asian public intellectuals will lay the foundation for the future of Asia's regional unity in diversity. The book poses fundamental questions on the validity of constructions of Asia, not only within Eurocentric and Orientalist, but also within Asia and Asian, discourse. - From the Foreword - from Amzon","",""
"1347","The Mystery Of Capital Why Capitalism Succeeds In The West And Fails Everywhere Else","Hernando De Soto","","","","Basic Books","1st",2000,NA,"0465016146",9780465016143,"","B1","Unknown",NA,"Book","","Free Enterprise, Theory, Economics",""
"1373","The Schumacher Lectures","","","","","Abacus Books","",1982,NA,"0349121184",9780349121185,"","B1","Unknown",NA,"Book","","",""
"1381","The Structure of Scientific Revolutions","Thomas S. Kuhn","","","","University of Chicago Press","",1962,NA,"",NA,"","B1","Unknown",NA,"Book","","History & Philosophy, Linear, Medical History & Records, Philosophy, Science & Mathematics",""
"1458","Untuk Indonesia yang Kuat: 100 Langkah untuk Tidak Miskin","Ligwina Hananto","","","","Literati","",2010,NA,"",9786028740135,"","B1","",NA,"Book","","",""
"1484","Verboden voor Honden en Inlanders dan Lahirlah LBH. Catatan 40 Tahun Pasang Surut Keadilan","","","","","Yayasan Lembaga Bantuan Hukum Indonesia (YLBHI)","",2012,NA,"",9789799532961,"","B1","",NA,"Book","","",""
"1507","World Development Report 1999/2000: Entering the 21st Century-Development World Bank (published for World Bank by Oxford University Press) (World Bank Development Report)","World Bank","","","","Oxford University Press","22",1999,NA,"0195211243",9780195211245,"","B1","Unknown",NA,"Book","Known as the standard reference for international economic data, the twenty-second annual edition of the World Development Report provides a set of Selected World Development Indicators as an appendix, presenting social and economic statistics for more than 200 countries. - from Amzon","Development & Growth, Environmental Economics, Sustainable Development, Economics, Education & Reference, International, Business, Public Affairs & Policy, Economics, Business Development, International Business, Public Policy",""
