"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"923","Pasar Terong Makassar. Dunia Dalam Kota","Agung Prabowo; Anwar Jimpe Rachman; Gidion Lebang; Ishak Salim; L. Habibie; Muslina Hanafi; M Rachmat Aris; M Randhy Akbar; Siswandi; Sunardi Hawi; Zulhajar","","","","Penerbit Ininnawa","",2013,NA,"",NA,"","F1","",NA,"Book","","",""
"937","Pembangunan Sosial Sektor Informal Perkotaan. (Studi Atas Pedagang Kaki Lima di Pasar Minggu DKI Jakarta)","Dr. Cucu Nurhayati, M.Si","","","","Orbit Publishing","",2015,NA,"",9786029469127,"","F1","",NA,"Book","","",""
"944","Pemukiman. Buku Pelajaran Seni Budaya","Sutrisno Murtiyoso; Endo Suanda","","","","Kantor Sekretariat Lembaga Pendidikan Seni Nusantara","1",2007,NA,"9793678081",NA,"","F1","Art",NA,"Book","","pemukiman, seni, budaya","Pendidikan Seni Nusantara"
"1009","Politik Ekonomi Perumahan Rakyat & Utopia Jakarta","Abidin Kusno","","","","Penerbit Ombak","",NA,NA,"",NA,"","F1","Urbanism, Indonesian City",NA,"Book","","",""
"1012","Pontianak Heritage","Ahmad Asma DZ","","","","Literer Khatulistiwa","",2013,NA,"",9786021976982,"","F1","",NA,"Book","","",""
"1020","Prague","Vladimir Soukup","","","","DORLING KINDERSLEY","",1997,NA,"0751300349",9780751300345,"","F1","Unknown",NA,"Book","","",""
"1067","Real Estate Development: Principles and Process 3rd Edition","Mike E. Miles; Gayle L. Berens; Marc A. Weiss","","","","Urban Land Institute","3rd",2000,NA,"0874208254",9780874208252,"","F1","Unknown",NA,"Book","Ideal for those new to real estate development, this comprehensive reference book offers a thorough and practical introduction. Using an eight-stage model of the development process, the authors explain idea conception, feasibility, planning, financing, market analysis, contract negotiation, construction, and asset management. Ongoing case studies of an office and a multifamily development provide realistic examples. - from Amzon","Environmental Economics, Investments, Real Estate",""
"1106","Rumah Kota Kita","","","","","Agenda 18","",2015,NA,"",9786023680641,"","F1","",NA,"Book","","",""
"1179","Social Sustainability in Historical Districts","","","","","United Nations Education, Scientific and Cultural Organization","",2005,NA,"",NA,"","F1","",NA,"Publication","","",""
"1180","Social Sustainability in Historical Districts","","","","","UNESCO","",NA,NA,"",NA,"","F1","Urbanism",NA,"Book","","",""
"1198","Stiker Kota","Ugeng T. Moetidjo; Ardi Yunanto; Ade Darmawan; Mirwan Andan","","","","Ruang Rupa","1",2008,NA,"",9789791906906,"","F1","Urbanism",NA,"Book","","",""
"1262","The Architecture of the City (Oppositions Books)","Aldo Rossi","","","","The MIT Press","Reprint",1984,NA,"0954836618",9780954836610,"","F1","Unknown",NA,"Book","<p>Aldo Rossi, a practicing architect and leader of the Italian architectural movement  <i>La Tendenza</i>, is also one of the most influential theorists writing today.  <i>The Architecture of the City</i> is his major work of architectural and urban theory. In part a protest against functionalism and the Modern Movement, in part an attempt to restore the craft of architecture to its position as the only valid object of architectural study, and in part an analysis of the rules and forms of the city's construction, the book has become immensely popular among architects and design students.</p> - from Amzon","Buildings, Urban & Land Use Planning, Architecture, Architecture",""
"1263","The Architecture of the City. (Oppositions books)","Aldo Rossi","","","","MIT Press","",1982,NA,"0262181010",9780262181013,"","F1","Unknown",NA,"Book","","",""
"1294","The Creative Economy: How People Make Money From Ideas","John Howkins","","","","Penguin Global","",2002,NA,"0140287949",9780140287943,"","F1","Unknown",NA,"Book","But how do you turn creativity into money – cash, capital and profit? It is not just having a bright idea that counts – it's what you do with it.<p>John Howkins, a leading expert on creative business, shows us what creativity really is, gives the hard data on its global turnover ($2.2 trillion a year) and outlines the key rules for success.</p><p>The rules include:</p><ul><li>Invent yourself. Be unique</li><li>Own your ideas. Understand copyright and patents</li><li>Know when to work alone, and when in a group</li><li>Learn endlessly. Borrow, reinvent and recycle</li><li>Exploit fame and celebrity</li><li>Know when to break the rules</li></ul><p>Whether in film or fashion, software or shoes, by focusing on our individual talents we can all make creativity pay.</p> - from Amzon","Economics, Finance, Humor & Entertainment",""
"1298","The Earthscan Reader in Sustainable Cities (Earthscan Reader Series)","","","","","Routledge","1",1999,NA,"185383601X",9781853836015,"","F1","Unknown",NA,"Book","The last five years have brought an enormous growth in the literature on how urban development can meet human needs and ensure ecological sustainability. This collection brings together the most outstanding contributions from leading experts on the issues surrounding sustainable cities and urban development. The Earthscan Reader in Sustainable Cities is fully international in scope and coverage. It will be the basic introduction to the subject for a wide range of students in urban geography, planning and environmental studies, and is essential reading for professionals involved with the successful running and development of cities. - from Amzon","Environmental Economics, Sustainable Development, Urban Planning & Development, Urban, Regional Planning, City Planning & Urban Development",""
"1300","The Ecology of Commerce Revised Edition: A Declaration of Sustainability (Collins Business Essentials)","Paul Hawken","","","","Harper Business","Revised",2010,NA,"0061252794",9780061252792,"","F1","Unknown",NA,"Book","","Company Profiles, Ethics, Environmental Economics, Sustainable Development",""
"1314","The Geography of Nowhere: The Rise and Decline of America's Man-Made Landscape","James Howard Kunstler","","","","Free Press","",1994,NA,"0671888250",9780671888251,"","F1","Unknown",NA,"Book","<I>The Geography of Nowhere</I> traces America's evolution from a nation of Main Streets and coherent communities to a land where every place is like no place in particular, where the cities are dead zones and the countryside is a wasteland of cartoon architecture and parking lots. <BR> In elegant and often hilarious prose, Kunstler depicts our nation's evolution from the Pilgrim settlements to the modern auto suburb in all its ghastliness. <I>The Geography of Nowhere</I> tallies up the huge economic, social, and spiritual costs that America is paying for its car-crazed lifestyle. It is also a wake-up call for citizens to reinvent the places where we live and work, to build communities that are once again worthy of our affection. Kunstler proposes that by reviving civic art and civic life, we will rediscover public virtue and a new vision of the common good. <I>""The future will require us to build better places,""</I> Kunstler says, <I>""or the future will belong to other people in other societies.""</I> - from Amzon","Criticism, History, Economics, Pollution, Reference, Ecology, Environmental Science, Social Sciences, Sociology, Politics & Government, Architecture, Ecology, Political Science",""
"1346","The Modern City: Planning in the 19th Century (Planning and Cities)","Francoise Choay","","","","George Braziller","First Edition",1969,NA,"0807605204",9780807605202,"","F1","Unknown",NA,"Book","Although we face unique urban problems in our day, many of the strengths and weaknesses of our present cities have been inherited directly from the nineteenth century. Much has been written about the impact of the industrial revolution on urban centers, so Francoise Choay is inevitably dealing with many familiar issues in this book. Her analysis of nineteenth-century theory and practice with respect to the regularization and planning of cities has, however, a novelty about it which should permit us to see the accomplishments and frustrations of that century in a different light than usual. - from Amzon","Buildings, History, Architecture, City Planning & Urban Development",""
"1434","Transformasi Sosial di Kawasan Peri-Urban Pantura: Kasus Kawasan Peri-Urban Semarang dan Surabaya","","","","","PT Gading Inti Prima","",2013,NA,"",9786022212218,"","F1","",NA,"Book","","",""
"1435","Transformasi Sosial di Kawasan Peri-Urban Pantura: Kasus Kawasan Peri-Urban Semarang dan Surabaya","Riwanto Tirtosudarmo; Ana Windarsih; M. Khoirul Muqtafa; Aulia Hadi; Syarfina M. Nadila","","","","PT Gading Inti Prima","",2013,NA,"",NA,"","F1","",NA,"Book","","",""
"1460","Urban / Culture: Cp Biennale 2005","Marco Kusumawijaya","Jim Supangkat","","","CP Foundation","",2017,NA,"9799100356",9789799100351,"","F1","Art",NA,"Book","","urbanism",""
"1475","Urbanisasi, Pengangguran, dan Sektor Informal di Kota","","","Chris Manning; Tadjuddin Noer Effendi","","Yayasan Obor Indonesia","",1991,NA,"",NA,"","F1","",NA,"Book","","",""
"1502","Wilayah Kekerasan Jakarta","Jérôme Tadié","","","","Masup Jakarta","",2009,NA,"",9789791570640,"","F1","",NA,"Book","","",""
