"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"365","Europe in Transition 1300-1520","Wallace K. Ferguson","","","","Houghton Mifflin Company","",1962,NA,"",NA,"","H3","History",NA,"Book","","",""
"389","French: How to Speak and Write It (Dover Language Guides French) (English and French Edition)","Joseph Lemaître","","","","Dover Publications","1st",1962,NA,"0486202682",9780486202686,"","H3","Unknown",NA,"Book","<div>Probably the most delightful, useful, and comprehensive elementary book available for learning spoken and written French, either with or without a teacher. Working on the principle that a person learns more quickly by example then by rule, Lemaître has assembled colloquial French conversations on a variety of subjects, as well as grammar, vocabulary, and idiom studies. Index.<BR></div> - from Amzon","Words, Language & Grammar, Studying & Workbooks, French, Test Prep & Study Guides",""
"519","Impact Evaluation in Practice","","","","","The World Bank","",2011,NA,"",9780821385418,"","H3","economy",NA,"Book","","",""
"533","Indonesia Zamrud Toleransi","","","","","Pusat Studi Islam dan Kenegaraan Indonesia (PSIK-Indonesia)","1",2017,NA,"",NA,"","H3","Islam",NA,"Book","","",""
"833","Microeconomics (Schaum's Outline Series)","Dominick Salvatore","","","","McGraw-Hill Inc.,US","",1974,NA,"0070544956",9780070544956,"","H3","Unknown",NA,"Book","<p>The learn-by-doing approach of this powerful study guide helps students master one of the most difficult courses required in most colleges and universities--traditionally one of the most important courses in all economics and business curricula. Every chapter fully illustrates theories, principles or backgrand information and includes multiple-choice review questions with answers.</p> - from Amzon","Microeconomics, Microeconomics",""
"897","Oei Tiong Ham: Raja Gula dari Semarang","Liem Tjwan Ling","","","","Kepustakaan Populer Gramedia","1",2013,NA,"",9789799105271,"","H3","Biography",NA,"Book","","",""
"899","On Competition, Updated and Expanded Edition","Michael E. Porter","","","","Harvard Business Review Press","Upd Exp",2008,NA,"142212696X",9781422126967,"","H3","Unknown",NA,"Book","<div>For the past two decades, Michael Porter's work has towered over the field of competitive strategy. <I>On Competition, Updated and Expanded Edition</I> brings together more than a dozen of Porter's landmark articles from the <I>Harvard Business Review</I>. Five are new to this edition, including the 2008 update to his classic ""The Five Competitive Forces That Shape Strategy,"" as well as new work on health care, philanthropy, corporate social responsibility, and CEO leadership. <br><BR>This collection captures Porter's unique ability to bridge theory and practice. Each of the articles has not only shaped thinking, but also redefined the work of practitioners in its respective field. In an insightful new introduction, Porter relates each article to the whole of his thinking about competition and value creation, and traces how that thinking has deepened over time.<br><BR>This collection is organized by topic, allowing the reader easy access to the wide range of Porter's work. Parts I and II present the frameworks for which Porter is best known--frameworks that address how companies, as well as nations and regions, gain and sustain competitive advantage. Part III shows how strategic thinking can address society's most pressing challenges, from environmental sustainability to improving health-care delivery. Part IV explores how both nonprofits and corporations can create value for society more effectively by applying strategy principles to philanthropy. Part V explores the link between strategy and leadership.<BR></div> - from Amzon","Environmental Economics, Theory, Economics, Education & Reference, Business",""
"1019","Practical Research Method","Willie","","","","Prentice-Hall","1",2002,NA,"9814119091",NA,"","H3","",NA,"Book","","",""
"1026","Principles of Economics: An Asian Edition<br>(For Sale in Asia Only)","N. Gregory Mankiw; Euston Quah; Peter Wilson","","","","Cengage Learning Asia","1st",2008,NA,"9814227870",9789814227872,"","H3","Unknown",NA,"Book","This is the Asian adaptation of N. Gregory Mankiw s market leading textbook Principles of Economics. While maintaining all the strengths of the original book, Professor Euston Quah and Dr. Peter Wilson have provided materials and examples that are most relevant to students in Asia. The book reflects Asian economic institutions and policy, features companies that operate in the region, and includes economic data from various Asian countries. <br><br> The text provides Asian students with a solid introduction to the principles and concepts of economics. It retains a strong international focus to enable students to place the Asian experience in a global context. Written for students taking economics for the first time, the book focuses on the core concepts and how these concepts are applied to the real world. Examples and cases throughout the text show students the relevance of the theory they are learning. - from Amzon","Subjects, New, Used & Rental Textbooks",""
"1126","Sapiens: A Brief History of Humankind","Yuval Noah Harari","","","","Random House","1st",2017,NA,"0099590085",9780099590088,"","H3","Unknown",NA,"Book","","",""
"1218","SuperFreakonomics","Steven D. Levitt; Stephen J. Dubner","","","","Allen Lane","Open market ed",2017,NA,"0713999918",9780713999914,"","H3","Unknown",NA,"Book","","Business & Money, Popular Culture",""
"1230","Syahadat Cinta Rabi'ah Al-'Adawiyah","Muhamad Guntur Romli","","","","Rehal Pustaka","1",2012,NA,"",9786021945001,"","H3","Islam",NA,"Book","","",""
"1318","The Heart of the Buddha's Teaching: Transforming Suffering into Peace, Joy, and Liberation","Thich Nhat Hanh","","","","Broadway Books","New edition",1999,NA,"0767903692",9780767903691,"","H3","Unknown",NA,"Book","","Rituals & Practice, Tibetan",""
"1365","The Primitive World and its Transformations","Robert Redfield","","","","Penguin Books","",1953,NA,"",NA,"","H3","Anthropology",NA,"Book","","",""
"1411","Thus Spake Zarathustra (Classic Library)","Friedrich Nietzche","","","","Book Sales","No Additional Printings Listed",2006,NA,"8182520355",9788182520356,"","H3","Unknown",NA,"Book","When Zarathustra was thirty years old- he left his home and the lake of his home- and went into the mountains. There he enjoyed his spirit and solitude- and for ten years did not weary of it.' (Excerpt from text) - from Amzon","",""
"1426","Towards a New Asia","Takeshi","","","","Asian Development Bank","1",1977,NA,"",NA,"","H3","economy",NA,"Book","","",""
"1430","Toyota Production System: Beyond Large-Scale Production","Taiichi Ohno","","","","Productivity Press","1",1988,NA,"0915299143",9780915299140,"","H3","Unknown",NA,"Book","In this classic text, Taiichi Ohno--inventor of the Toyota Production System and Lean manufacturing--shares the genius that sets him apart as one of the most disciplined and creative thinkers of our time. Combining his candid insights with a rigorous analysis of Toyota's attempts at Lean production, Ohno's book explains how Lean principles can improve any production endeavor. A historical and philosophical description of just-in-time and Lean manufacturing, this work is a must read for all students of human progress. On a more practical level, it continues to provide inspiration and instruction for those seeking to improve efficiency through the elimination of waste.  <P></P> - from Amzon","Production & Operations, Quality Control, Automotive, Industrial Design, Manufacturing, Health Care Delivery, Business & Finance, Engineering, Health Care Delivery",""
"1467","Urban Economics, 7th Edition","Arthur O'Sullivan","","","","McGraw-Hill Europe","7th Revised edition",2017,NA,"0071276297",9780071276290,"","H3","Unknown",NA,"Book","The seventh edition of ""Urban Economics"" continues to be the market leading textbook due to its thorough content and concise writing style. The new edition continues to cover urban economics as the discipline that lies at the intersection of geography and economics. ""Urban Economics"" incorporates the remarkable progress in the field of urban economics from the last fifteen years. It also explores the location decisions of utility-maximizing households and profit-maximizing firms, and it shows how these decisions cause the formation of cities of different size and shape. The framework of this edition continues to be divided into six sections. Part I explains why cities exist and what causes hem to grow or shrink. Part II examines the market forces that shape cities and the role of government in determining land-use patterns. Part III looks at the urban transportation system. Part IV uses a model of the rational criminal to explore the causes of urban crime and its spatial consequences. Part V explains the unique features of the housing market and examines the effects of government housing policies. Part VI explains the rationale for our fragmented system of local government and explores the responses of local governments to intergovernmental grants and the responses of taxpayers to local taxes. - from Amzon","Urban & Regional, Economics",""
